GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Suma de POB  en CELL (rur+urb),Promedio de POBTOT en MUN Rur,Promedio de POBTOT en MUN URB,Pot Tot
3793103,19048,0.002586194,,0.002586194,694,,268348,268348
3793104,19019,0.002087598,,0.002087598,256,,122629,122629
3793104,19048,0.000793745,,0.000793745,213,,268348,268348
3793105,19019,0.009320797,,0.009320797,1143,,122629,122629
3793106,19019,0.03455137,,0.03455137,4237,,122629,122629
3793107,19019,0.028149948,,0.028149948,3452,,122629,122629
3793108,19019,0.025083789,,0.025083789,3076,,122629,122629
3793109,19019,0.020125745,,0.020125745,2468,,122629,122629
3793110,19019,0.015673291,,0.015673291,1922,,122629,122629
3793111,19019,0.016203345,,0.016203345,1987,,122629,122629
3793112,19019,0.017491784,,0.017491784,2145,,122629,122629
3793113,19019,0.005349469,,0.005349469,656,,122629,122629
3793113,19039,0.00109202,,0.00109202,1240,,1135510,1135510
3793114,19019,0.001630936,,0.001630936,200,,122629,122629
3793114,19039,0.007156256,,0.007156256,8126,,1135510,1135510
3793115,19019,0.000187558,,0.000187558,23,,122629,122629
3793115,19039,0.010199822,,0.010199822,11582,,1135510,1135510
3793116,19039,0.008608467,,0.008608467,9775,,1135510,1135510
3793117,19039,0.003182711,,0.003182711,3614,,1135510,1135510
3793118,19039,0.003399354,,0.003399354,3860,,1135510,1135510
3793119,19026,0.00291935,,0.00291935,1978,,677548,677548
3793119,19039,0.003210892,,0.003210892,3646,,1135510,1135510
3793120,19026,0.009405976,,0.009405976,6373,,677548,677548
3793120,19039,0.000203433,,0.000203433,231,,1135510,1135510
3793121,19026,0.003112695,,0.003112695,2109,,677548,677548
3793122,19026,0.001359313,,0.001359313,921,,677548,677548
3793123,19026,0.006096985,,0.006096985,4131,,677548,677548
3793124,19026,0.01320792,,0.01320792,8949,,677548,677548
3793125,19026,0.016422453,,0.016422453,11127,,677548,677548
3793126,19026,0.016677785,,0.016677785,11300,,677548,677548
3793127,19026,0.016685165,,0.016685165,11305,,677548,677548
3793128,19026,0.014458016,,0.014458016,9796,,677548,677548
3793129,19026,0.009695254,,0.009695254,6569,,677548,677548
3793130,19026,0.011466346,,0.011466346,7769,,677548,677548
3793131,19026,0.001864075,,0.001864075,1263,,677548,677548
3793131,19031,0.037747978,,0.037747978,9278,,245788,245788
3793132,19031,0.034224616,,0.034224616,8412,,245788,245788
3793133,19031,0.012441616,,0.012441616,3058,,245788,245788
3793134,19031,0.005744788,0.000894294,0.00553372,1422,11182,245788,256970
3793135,19031,0.024277019,0.000178859,0.023228392,5969,11182,245788,256970
3793136,19031,0.02301577,,0.02301577,5657,,245788,245788
3793137,19031,0.009597702,,0.009597702,2359,,245788,245788
3793138,19031,0.037918857,,0.037918857,9320,,245788,245788
3793139,19031,0.033329536,,0.033329536,8192,,245788,245788
3793140,19031,4.06855E-06,,4.06855E-06,1,,245788,245788
3796276,19048,0.001199934,,0.001199934,322,,268348,268348
3796277,19048,0.006644357,,0.006644357,1783,,268348,268348
3796278,19048,0.024416057,,0.024416057,6552,,268348,268348
3796279,19048,0.044915557,,0.044915557,12053,,268348,268348
3796280,19048,0.004889174,,0.004889174,1312,,268348,268348
3796281,19048,0.01959396,,0.01959396,5258,,268348,268348
3796282,19019,0.00240563,,0.00240563,295,,122629,122629
3796282,19048,0.011559617,,0.011559617,3102,,268348,268348
3796283,19019,0.032268061,,0.032268061,3957,,122629,122629
3796283,19048,0.000216137,,0.000216137,58,,268348,268348
3796284,19019,0.046179941,,0.046179941,5663,,122629,122629
3796285,19019,0.019978961,,0.019978961,2450,,122629,122629
3796286,19019,0.017255299,,0.017255299,2116,,122629,122629
3796286,19039,8.80662E-07,,8.80662E-07,1,,1135510,1135510
3796287,19019,0.032104967,,0.032104967,3937,,122629,122629
3796287,19039,1.05679E-05,,1.05679E-05,12,,1135510,1135510
3796288,19019,0.027032757,,0.027032757,3315,,122629,122629
3796289,19019,0.021169544,,0.021169544,2596,,122629,122629
3796289,19039,0.000272124,,0.000272124,309,,1135510,1135510
3796290,19019,0.007070106,,0.007070106,867,,122629,122629
3796290,19039,0.000800521,,0.000800521,909,,1135510,1135510
3796291,19019,0.000464817,,0.000464817,57,,122629,122629
3796291,19039,0.003695256,,0.003695256,4196,,1135510,1135510
3796292,19039,0.007545508,,0.007545508,8568,,1135510,1135510
3796293,19039,0.003899569,,0.003899569,4428,,1135510,1135510
3796294,19039,0.002728289,,0.002728289,3098,,1135510,1135510
3796295,19039,0.006633143,,0.006633143,7532,,1135510,1135510
3796296,19039,0.005885461,,0.005885461,6683,,1135510,1135510
3796297,19026,0.00038964,,0.00038964,264,,677548,677548
3796297,19039,0.0074275,,0.0074275,8434,,1135510,1135510
3796298,19026,0.011453063,,0.011453063,7760,,677548,677548
3796298,19039,0.000453541,,0.000453541,515,,1135510,1135510
3796299,19026,0.006079274,,0.006079274,4119,,677548,677548
3796300,19026,0.005085987,,0.005085987,3446,,677548,677548
3796301,19026,0.017517578,,0.017517578,11869,,677548,677548
3796302,19026,0.01948349,,0.01948349,13201,,677548,677548
3796303,19026,0.014266148,,0.014266148,9666,,677548,677548
3796304,19026,0.018775054,,0.018775054,12721,,677548,677548
3796305,19026,0.014198256,,0.014198256,9620,,677548,677548
3796306,19026,0.018426739,,0.018426739,12485,,677548,677548
3796307,19026,0.01519302,,0.01519302,10294,,677548,677548
3796308,19026,0.009150643,,0.009150643,6200,,677548,677548
3796309,19026,0.004711105,,0.004711105,3192,,677548,677548
3796309,19031,1.22056E-05,,1.22056E-05,3,,245788,245788
3796310,19026,0.00431261,,0.00431261,2922,,677548,677548
3796310,19031,0.004528293,,0.004528293,1113,,245788,245788
3796311,19026,0.000231718,,0.000231718,157,,677548,677548
3796311,19031,0.017035006,,0.017035006,4187,,245788,245788
3796312,19031,0.035965954,,0.035965954,8840,,245788,245788
3796313,19031,0.017405244,0.001430871,0.016710122,4294,11182,245788,256970
3796314,19031,0.003641349,,0.003641349,895,,245788,245788
3796315,19031,0.004280111,,0.004280111,1052,,245788,245788
3796316,19031,0.016221296,,0.016221296,3987,,245788,245788
3796317,19031,0.010537536,,0.010537536,2590,,245788,245788
3799452,19048,0.000190052,0.001644737,0.00019334,52,608,268348,268956
3799453,19048,0.008239301,,0.008239301,2211,,268348,268348
3799454,19048,0.026160061,,0.026160061,7020,,268348,268348
3799455,19048,0.035912323,,0.035912323,9637,,268348,268348
3799456,19048,0.037458822,,0.037458822,10052,,268348,268348
3799457,19048,0.019724388,,0.019724388,5293,,268348,268348
3799458,19048,0.007657967,,0.007657967,2055,,268348,268348
3799459,19048,0.014108546,,0.014108546,3786,,268348,268348
3799460,19019,8.15468E-06,,8.15468E-06,1,,122629,122629
3799460,19048,0.021382682,,0.021382682,5738,,268348,268348
3799461,19019,0.030164154,,0.030164154,3699,,122629,122629
3799461,19048,0.001360174,,0.001360174,365,,268348,268348
3799462,19019,0.037421817,,0.037421817,4589,,122629,122629
3799463,19019,0.014058665,,0.014058665,1724,,122629,122629
3799463,19039,0.000228091,,0.000228091,259,,1135510,1135510
3799464,19019,0.00252795,,0.00252795,310,,122629,122629
3799464,19039,0.000485245,,0.000485245,551,,1135510,1135510
3799465,19019,4.07734E-05,,4.07734E-05,5,,122629,122629
3799465,19039,0.000553055,,0.000553055,628,,1135510,1135510
3799466,19019,0.003791925,,0.003791925,465,,122629,122629
3799466,19039,0.000668422,,0.000668422,759,,1135510,1135510
3799467,19019,0.000203867,,0.000203867,25,,122629,122629
3799467,19039,0.001040942,,0.001040942,1182,,1135510,1135510
3799468,19039,0.000786431,,0.000786431,893,,1135510,1135510
3799469,19039,0.001680302,,0.001680302,1908,,1135510,1135510
3799470,19039,0.002531902,,0.002531902,2875,,1135510,1135510
3799471,19039,0.000698365,,0.000698365,793,,1135510,1135510
3799472,19039,0.003335946,,0.003335946,3788,,1135510,1135510
3799473,19039,0.002533663,,0.002533663,2877,,1135510,1135510
3799474,19039,0.002751187,,0.002751187,3124,,1135510,1135510
3799475,19026,0.003552516,,0.003552516,2407,,677548,677548
3799475,19039,0.003557873,,0.003557873,4040,,1135510,1135510
3799476,19026,0.014791572,,0.014791572,10022,,677548,677548
3799477,19026,0.01084056,,0.01084056,7345,,677548,677548
3799478,19026,0.003483148,,0.003483148,2360,,677548,677548
3799479,19026,0.014692686,,0.014692686,9955,,677548,677548
3799480,19026,0.016301428,,0.016301428,11045,,677548,677548
3799481,19026,0.013188733,,0.013188733,8936,,677548,677548
3799482,19026,0.012202825,,0.012202825,8268,,677548,677548
3799483,19026,0.008400881,,0.008400881,5692,,677548,677548
3799484,19026,0.008781666,,0.008781666,5950,,677548,677548
3799485,19026,0.005426922,,0.005426922,3677,,677548,677548
3799486,19026,0.008822991,,0.008822991,5978,,677548,677548
3799487,19026,0.008814136,,0.008814136,5972,,677548,677548
3799488,19026,0.008262145,,0.008262145,5598,,677548,677548
3799489,19026,0.008679828,,0.008679828,5881,,677548,677548
3799489,19031,0.010041174,,0.010041174,2468,,245788,245788
3799490,19026,0.001357837,,0.001357837,920,,677548,677548
3799490,19031,0.007010106,0.00160973,0.00677511,1741,11182,245788,256970
3799491,19031,0.003197878,,0.003197878,786,,245788,245788
