GRIDCODE,CVENTMUN,Frur,Furb,Fpob,Prur_T,Purb_T,P_tot
6441995,02004,0,0.002844509,0.002844509,,1516958,1516958
6441996,02004,0,9.69045E-05,9.69045E-05,,1516958,1516958
6441997,02004,0,0.000121955,0.000121955,,1516958,1516958
6441998,02004,0,0.000379707,0.000379707,,1516958,1516958
6442002,02004,0.000174004,0,0.000174004,40229,,40229
6442004,02004,0.000273435,0,0.000273435,40229,,40229
6442005,02004,0.004051803,0,0.004051803,40229,,40229
6442006,02004,0.000273435,0,0.000273435,40229,,40229
6442007,02004,0.000198862,0,0.000198862,40229,,40229
6445148,02004,0,0.001154284,0.001154284,,1516958,1516958
6445149,02004,0,0.004396298,0.004396298,,1516958,1516958
6445150,02004,0,0.002108826,0.002108826,,1516958,1516958
6445151,02004,0,0.003571622,0.003571622,,1516958,1516958
6445152,02004,0,0.004105585,0.004105585,,1516958,1516958
6445153,02004,0,0.006633012,0.006633012,,1516958,1516958
6445154,02004,0,0.005462247,0.005462247,,1516958,1516958
6445155,02004,0,0.004894664,0.004894664,,1516958,1516958
6445156,02004,0,0.005058808,0.005058808,,1516958,1516958
6445157,02004,0,0.002701459,0.002701459,,1516958,1516958
6445158,02004,0,0.00064603,0.00064603,,1516958,1516958
6445159,02004,0,0.001924246,0.001924246,,1516958,1516958
6445160,02004,0,0.005494549,0.005494549,,1516958,1516958
6445161,02004,0,0.005485979,0.005485979,,1516958,1516958
6445162,02004,0,0.005389075,0.005389075,,1516958,1516958
6445163,02004,0,0.001873486,0.001873486,,1516958,1516958
6445164,02004,0,0.000476612,0.000476612,,1516958,1516958
6445165,02004,0,0.001431813,0.001431813,,1516958,1516958
6445166,02004,0,0.005033758,0.005033758,,1516958,1516958
6445167,02004,0,0.002906475,0.002906475,,1516958,1516958
6445168,02004,0,0.000423875,0.000423875,,1516958,1516958
6445169,02004,0,0.000937402,0.000937402,,1516958,1516958
6445170,02004,0.000770588,0.002645426,0.002596991,40229,1516958,1557187
6445171,02004,0.000248577,0.002642789,0.002580936,40229,1516958,1557187
6445172,02004,0,0.003864972,0.003864972,,1516958,1516958
6445173,02004,0.000124288,0.001069245,0.001044833,40229,1516958,1557187
6445176,02004,4.97154E-05,0,4.97154E-05,40229,,40229
6445180,02004,7.45731E-05,0,7.45731E-05,40229,,40229
6445181,02004,7.45731E-05,0,7.45731E-05,40229,,40229
6445182,02004,0.000124288,0,0.000124288,40229,,40229
6445185,02004,0.000273435,0,0.000273435,40229,,40229
6448326,02004,0,0.000524734,0.000524734,,1516958,1516958
6448327,02004,0,0.00329607,0.00329607,,1516958,1516958
6448328,02004,0,0.002590711,0.002590711,,1516958,1516958
6448329,02004,0,0.003872223,0.003872223,,1516958,1516958
6448330,02004,0,0.003779933,0.003779933,,1516958,1516958
6448331,02004,0,0.004514298,0.004514298,,1516958,1516958
6448332,02004,0,0.004665258,0.004665258,,1516958,1516958
6448333,02004,0,0.004280277,0.004280277,,1516958,1516958
6448334,02004,0,0.004356086,0.004356086,,1516958,1516958
6448335,02004,0,0.001850414,0.001850414,,1516958,1516958
6448336,02004,0,0.001642102,0.001642102,,1516958,1516958
6448337,02004,0,0.004506387,0.004506387,,1516958,1516958
6448338,02004,0,0.004966519,0.004966519,,1516958,1516958
6448339,02004,0,0.003583487,0.003583487,,1516958,1516958
6448340,02004,0,0.00312006,0.00312006,,1516958,1516958
6448341,02004,0,0.001597276,0.001597276,,1516958,1516958
6448342,02004,0,8.56978E-06,8.56978E-06,,1516958,1516958
6448343,02004,0,0.000141731,0.000141731,,1516958,1516958
6448344,02004,0,0.002600599,0.002600599,,1516958,1516958
6448345,02004,0,0.004895983,0.004895983,,1516958,1516958
6448346,02004,0,0.001647376,0.001647376,,1516958,1516958
6448347,02004,0,0.000479908,0.000479908,,1516958,1516958
6448348,02004,0,0.003939463,0.003939463,,1516958,1516958
6448349,02004,0,0.004000111,0.004000111,,1516958,1516958
6448350,02004,0,0.001670448,0.001670448,,1516958,1516958
6451504,02004,0,3.88936E-05,3.88936E-05,,1516958,1516958
6451505,02004,0,0.000745571,0.000745571,,1516958,1516958
6451506,02004,0,0.000872799,0.000872799,,1516958,1516958
6451507,02004,0,0.001188563,0.001188563,,1516958,1516958
6451508,02004,0,0.00135007,0.00135007,,1516958,1516958
6451509,02004,0,0.001689566,0.001689566,,1516958,1516958
6451510,02004,0,0.002144423,0.002144423,,1516958,1516958
6451511,02004,0,0.001961162,0.001961162,,1516958,1516958
6451512,02004,0,0.001743621,0.001743621,,1516958,1516958
6451513,02004,0,0.000794353,0.000794353,,1516958,1516958
6451514,02004,0,0.001349411,0.001349411,,1516958,1516958
6451515,02004,0,0.002053452,0.002053452,,1516958,1516958
6451516,02004,0,0.002025106,0.002025106,,1516958,1516958
6451517,02004,0,9.16308E-05,9.16308E-05,,1516958,1516958
6451518,02004,0,3.29607E-06,3.29607E-06,,1516958,1516958
6451519,02004,0,3.29607E-06,3.29607E-06,,1516958,1516958
6451520,02004,0,3.29607E-06,3.29607E-06,,1516958,1516958
6451521,02004,0,5.5374E-05,5.5374E-05,,1516958,1516958
6451522,02004,0,0.000975637,0.000975637,,1516958,1516958
6451523,02004,0,0.001775263,0.001775263,,1516958,1516958
6451524,02004,0,0.001464774,0.001464774,,1516958,1516958
6451525,02004,0,0.000156234,0.000156234,,1516958,1516958
6451526,02004,0,0.001348093,0.001348093,,1516958,1516958
6451527,02004,0,0.001537946,0.001537946,,1516958,1516958
6451528,02004,0,0.000464087,0.000464087,,1516958,1516958
