ID,Lon,lat,cst,pob,UTMX,UTMY,UTMZ
249352,-103.2551,21.23731,6,4,2370321.7742,1025649.0616,13
249353,-103.22606,21.23754,6,0,2373321.7742,1025649.0616,13
249354,-103.19703,21.23777,6,52,2376321.7742,1025649.0616,13
249355,-103.16799,21.238,6,68,2379321.7742,1025649.0616,13
249356,-103.13896,21.23822,6,0,2382321.7742,1025649.0616,13
249357,-103.10993,21.23843,6,9,2385321.7742,1025649.0616,13
249358,-103.08089,21.23864,6,0,2388321.7742,1025649.0616,13
249359,-103.05186,21.23884,6,0,2391321.7742,1025649.0616,13
249360,-103.02282,21.23904,6,30,2394321.7742,1025649.0616,13
249361,-102.99379,21.23923,6,20,2397321.7742,1025649.0616,13
249362,-102.96475,21.23941,6,4,2400321.7742,1025649.0616,13
249363,-102.93572,21.23959,6,0,2403321.7742,1025649.0616,13
249364,-102.90668,21.23977,6,30,2406321.7742,1025649.0616,13
249365,-102.87765,21.23994,6,30,2409321.7742,1025649.0616,13
249366,-102.84861,21.2401,6,861,2412321.7742,1025649.0616,13
249367,-102.81957,21.24026,6,83,2415321.7742,1025649.0616,13
249368,-102.79054,21.24041,6,145,2418321.7742,1025649.0616,13
249369,-102.7615,21.24056,6,45,2421321.7742,1025649.0616,13
249370,-102.73247,21.2407,6,0,2424321.7742,1025649.0616,13
249371,-102.70343,21.24084,6,31,2427321.7742,1025649.0616,13
249372,-102.6744,21.24097,6,2,2430321.7742,1025649.0616,13
249373,-102.64536,21.24109,6,71,2433321.7742,1025649.0616,13
249374,-102.61633,21.24121,6,112,2436321.7742,1025649.0616,13
249375,-102.58729,21.24133,6,181,2439321.7742,1025649.0616,13
249376,-102.55825,21.24144,6,200,2442321.7742,1025649.0616,13
249377,-102.52922,21.24154,6,36,2445321.7742,1025649.0616,13
249378,-102.50018,21.24164,6,46,2448321.7742,1025649.0616,13
249379,-102.47115,21.24173,6,80,2451321.7742,1025649.0616,13
249380,-102.44211,21.24182,6,29,2454321.7742,1025649.0616,13
249381,-102.41307,21.2419,6,78,2457321.7742,1025649.0616,13
249382,-102.38404,21.24197,6,28,2460321.7742,1025649.0616,13
249383,-102.355,21.24204,6,5818,2463321.7742,1025649.0616,13
249384,-102.32596,21.24211,6,37435,2466321.7742,1025649.0616,13
249385,-102.29693,21.24217,6,256,2469321.7742,1025649.0616,13
249386,-102.26789,21.24222,6,11,2472321.7742,1025649.0616,13
249387,-102.23886,21.24227,6,5,2475321.7742,1025649.0616,13
249388,-102.20982,21.24231,6,74,2478321.7742,1025649.0616,13
249389,-102.18078,21.24235,6,7,2481321.7742,1025649.0616,13
249390,-102.15175,21.24238,6,3,2484321.7742,1025649.0616,13
249391,-102.12271,21.24241,6,56,2487321.7742,1025649.0616,13
249392,-102.09367,21.24243,6,11,2490321.7742,1025649.0616,13
249393,-102.06464,21.24244,6,0,2493321.7742,1025649.0616,13
249394,-102.0356,21.24245,6,57,2496321.7742,1025649.0616,13
249395,-102.00656,21.24246,6,29,2499321.7742,1025649.0616,13
249396,-101.97753,21.24245,6,0,2502321.7742,1025649.0616,14
249397,-101.94849,21.24245,6,11,2505321.7742,1025649.0616,14
249398,-101.91946,21.24243,6,55,2508321.7742,1025649.0616,14
249399,-101.89042,21.24242,6,92,2511321.7742,1025649.0616,14
249400,-101.86138,21.24239,6,6,2514321.7742,1025649.0616,14
249401,-101.83235,21.24236,6,52,2517321.7742,1025649.0616,14
249402,-101.80331,21.24233,6,55,2520321.7742,1025649.0616,14
249403,-101.77427,21.24229,6,0,2523321.7742,1025649.0616,14
249404,-101.74524,21.24224,6,12,2526321.7742,1025649.0616,14
249405,-101.7162,21.24219,6,1570,2529321.7742,1025649.0616,14
249406,-101.68716,21.24214,6,141,2532321.7742,1025649.0616,14
249407,-101.65813,21.24207,6,6,2535321.7742,1025649.0616,14
249408,-101.62909,21.24201,6,344,2538321.7742,1025649.0616,14
249409,-101.60006,21.24193,6,119,2541321.7742,1025649.0616,14
249410,-101.57102,21.24185,6,115,2544321.7742,1025649.0616,14
249411,-101.54198,21.24177,6,113,2547321.7742,1025649.0616,14
249412,-101.51295,21.24168,6,0,2550321.7742,1025649.0616,14
250326,-105.72314,21.22437,6,0,2115321.7742,1028649.0616,13
250327,-105.69412,21.22507,6,0,2118321.7742,1028649.0616,13
250328,-105.6651,21.22577,6,0,2121321.7742,1028649.0616,13
250329,-105.63607,21.22646,6,0,2124321.7742,1028649.0616,13
250330,-105.60705,21.22715,6,0,2127321.7742,1028649.0616,13
250331,-105.57802,21.22783,6,0,2130321.7742,1028649.0616,13
250332,-105.549,21.22851,6,0,2133321.7742,1028649.0616,13
250333,-105.51998,21.22918,6,0,2136321.7742,1028649.0616,13
250334,-105.49095,21.22984,6,0,2139321.7742,1028649.0616,13
250335,-105.46193,21.2305,6,0,2142321.7742,1028649.0616,13
250336,-105.4329,21.23116,6,0,2145321.7742,1028649.0616,13
250337,-105.40387,21.23181,6,0,2148321.7742,1028649.0616,13
250338,-105.37485,21.23245,6,0,2151321.7742,1028649.0616,13
250339,-105.34582,21.23309,6,0,2154321.7742,1028649.0616,13
250340,-105.31679,21.23372,6,0,2157321.7742,1028649.0616,13
250341,-105.28777,21.23435,6,0,2160321.7742,1028649.0616,13
250342,-105.25874,21.23497,6,0,2163321.7742,1028649.0616,13
250343,-105.22971,21.23558,6,5,2166321.7742,1028649.0616,13
250344,-105.20069,21.23619,6,3,2169321.7742,1028649.0616,13
250345,-105.17166,21.2368,6,3951,2172321.7742,1028649.0616,13
250346,-105.14263,21.2374,6,0,2175321.7742,1028649.0616,13
250347,-105.1136,21.23799,6,8,2178321.7742,1028649.0616,13
250348,-105.08457,21.23858,6,67,2181321.7742,1028649.0616,13
250349,-105.05554,21.23916,6,0,2184321.7742,1028649.0616,13
250350,-105.02651,21.23974,6,41,2187321.7742,1028649.0616,13
250351,-104.99748,21.24031,6,0,2190321.7742,1028649.0616,13
250352,-104.96845,21.24088,6,3,2193321.7742,1028649.0616,13
250353,-104.93942,21.24144,6,5,2196321.7742,1028649.0616,13
250354,-104.91039,21.24199,6,11572,2199321.7742,1028649.0616,13
250355,-104.88136,21.24254,6,5634,2202321.7742,1028649.0616,13
250356,-104.85233,21.24309,6,0,2205321.7742,1028649.0616,13
250357,-104.8233,21.24363,6,2,2208321.7742,1028649.0616,13
250358,-104.79427,21.24416,6,0,2211321.7742,1028649.0616,13
250359,-104.76524,21.24469,6,0,2214321.7742,1028649.0616,13
250360,-104.73621,21.24521,6,1,2217321.7742,1028649.0616,13
250361,-104.70718,21.24572,6,0,2220321.7742,1028649.0616,13
250362,-104.67814,21.24624,6,0,2223321.7742,1028649.0616,13
250363,-104.64911,21.24674,6,2,2226321.7742,1028649.0616,13
250364,-104.62008,21.24724,6,0,2229321.7742,1028649.0616,13
250365,-104.59105,21.24774,6,22,2232321.7742,1028649.0616,13
250366,-104.56201,21.24823,6,0,2235321.7742,1028649.0616,13
250367,-104.53298,21.24871,6,0,2238321.7742,1028649.0616,13
250368,-104.50395,21.24919,6,0,2241321.7742,1028649.0616,13
250369,-104.47491,21.24966,6,0,2244321.7742,1028649.0616,13
250370,-104.44588,21.25013,6,0,2247321.7742,1028649.0616,13
250371,-104.41685,21.25059,6,0,2250321.7742,1028649.0616,13
250372,-104.38781,21.25104,6,0,2253321.7742,1028649.0616,13
250373,-104.35878,21.25149,6,7,2256321.7742,1028649.0616,13
250374,-104.32974,21.25194,6,115,2259321.7742,1028649.0616,13
250375,-104.30071,21.25238,6,119,2262321.7742,1028649.0616,13
250376,-104.27167,21.25281,6,0,2265321.7742,1028649.0616,13
250377,-104.24264,21.25324,6,99,2268321.7742,1028649.0616,13
250378,-104.2136,21.25366,6,27,2271321.7742,1028649.0616,13
250379,-104.18457,21.25408,6,0,2274321.7742,1028649.0616,13
250380,-104.15553,21.25449,6,25,2277321.7742,1028649.0616,13
250381,-104.1265,21.2549,6,0,2280321.7742,1028649.0616,13
250382,-104.09746,21.2553,6,10,2283321.7742,1028649.0616,13
250383,-104.06842,21.2557,6,95,2286321.7742,1028649.0616,13
250384,-104.03939,21.25609,6,29,2289321.7742,1028649.0616,13
250385,-104.01035,21.25647,6,0,2292321.7742,1028649.0616,13
250386,-103.98132,21.25685,6,0,2295321.7742,1028649.0616,13
250387,-103.95228,21.25722,6,0,2298321.7742,1028649.0616,13
250388,-103.92324,21.25759,6,0,2301321.7742,1028649.0616,13
250389,-103.8942,21.25795,6,0,2304321.7742,1028649.0616,13
250390,-103.86517,21.25831,6,1,2307321.7742,1028649.0616,13
250391,-103.83613,21.25866,6,0,2310321.7742,1028649.0616,13
250392,-103.80709,21.25901,6,0,2313321.7742,1028649.0616,13
250393,-103.77805,21.25935,6,0,2316321.7742,1028649.0616,13
250394,-103.74902,21.25968,6,0,2319321.7742,1028649.0616,13
250395,-103.71998,21.26001,6,0,2322321.7742,1028649.0616,13
250396,-103.69094,21.26033,6,0,2325321.7742,1028649.0616,13
250397,-103.6619,21.26065,6,3,2328321.7742,1028649.0616,13
250398,-103.63286,21.26096,6,0,2331321.7742,1028649.0616,13
250399,-103.60382,21.26127,6,0,2334321.7742,1028649.0616,13
250400,-103.57479,21.26157,6,0,2337321.7742,1028649.0616,13
250401,-103.54575,21.26187,6,0,2340321.7742,1028649.0616,13
250402,-103.51671,21.26216,6,51,2343321.7742,1028649.0616,13
250403,-103.48767,21.26245,6,65,2346321.7742,1028649.0616,13
250404,-103.45863,21.26272,6,69,2349321.7742,1028649.0616,13
250405,-103.42959,21.263,6,0,2352321.7742,1028649.0616,13
250406,-103.40055,21.26327,6,0,2355321.7742,1028649.0616,13
250407,-103.37151,21.26353,6,0,2358321.7742,1028649.0616,13
250408,-103.34247,21.26379,6,0,2361321.7742,1028649.0616,13
250409,-103.31343,21.26404,6,114,2364321.7742,1028649.0616,13
250410,-103.28439,21.26429,6,0,2367321.7742,1028649.0616,13
250411,-103.25535,21.26453,6,0,2370321.7742,1028649.0616,13
250412,-103.22631,21.26476,6,0,2373321.7742,1028649.0616,13
250413,-103.19727,21.26499,6,0,2376321.7742,1028649.0616,13
250414,-103.16823,21.26522,6,2161,2379321.7742,1028649.0616,13
250415,-103.13919,21.26544,6,0,2382321.7742,1028649.0616,13
250416,-103.11015,21.26565,6,7,2385321.7742,1028649.0616,13
250417,-103.08111,21.26586,6,2,2388321.7742,1028649.0616,13
250418,-103.05207,21.26606,6,3,2391321.7742,1028649.0616,13
250419,-103.02303,21.26626,6,11,2394321.7742,1028649.0616,13
250420,-102.99399,21.26645,6,0,2397321.7742,1028649.0616,13
