GRIDCODE,CID,Fracc,Fracv
169932,14087,0.006715441,0.004657618
169933,14049,0.000594313,6.49887E-05
169933,14049,0.050377578,0.005508839
169933,14087,0.000773332,0.000536358
169933,14087,0.000109952,7.6259E-05
169934,14049,0.005211822,0.000569918
169953,16012,0.007280121,0.000530095
169954,16012,0.107531235,0.007829777
169955,16012,0.129044009,0.009396207
169955,16083,0.001318258,0.000646676
169956,16012,0.023233722,0.00169174
169956,16083,0.010578848,0.005189491
169957,16083,0.011049745,0.00542049
169958,16006,0.004138691,0.000674339
169958,16006,0.011210351,0.001826561
169958,16083,0.000695249,0.000341057
169958,16083,0.005279374,0.002589815
169959,16006,0.011369643,0.001852515
169959,16006,0.000809988,0.000131976
169959,16083,0.003129856,0.001535362
169960,16006,0.004693656,0.000764762
169960,16083,0.006288673,0.00308493
169961,16006,0.031160911,0.00507721
169961,16083,0.002434626,0.001194314
169962,16006,0.032057184,0.005223244
169962,16064,0.01842832,0.000514183
169962,16083,0.000909237,0.000446029
169963,16006,0.002426791,0.00039541
169963,16064,0.111428509,0.003109053
169963,16083,0.000575151,0.000282143
169966,16102,0.000578007,0.000364744
169967,16033,6.79305E-05,1.6136E-05
169967,16102,0.001501861,0.000947731
169968,16033,0.04978289,0.011825291
169970,16033,0.040693293,0.009666173
169971,16033,0.004460246,0.001059474
169981,16009,0.007957117,0.003941034
169982,16009,0.020544681,0.010175455
169983,16009,0.002878911,0.001425879
169983,16009,0.003971705,0.001967122
169983,16082,0.002133887,0.000811779
169984,16009,0.000285471,0.000141389
169984,16082,0.023738057,0.009030498
169985,16082,0.014901224,0.005668765
169986,16082,0.01402371,0.005334939
169987,16082,0.004967945,0.001889919
170952,6007,6.73106E-05,6.13213E-06
170953,6007,0.043467062,0.003959935
170954,6007,0.042849021,0.00390363
170954,6007,0.011866402,0.001081053
170954,6007,5.0064E-07,4.56093E-08
170955,6007,0.011700401,0.001065929
170955,6007,0.043498838,0.00396283
170956,6004,0.004326702,0.000827047
170956,6004,0.030208082,0.00577426
