GRIDCODE,CVE_ENTCVE_MUN,LTMxC,Lcelda,Frac
166731,06002,2321767.063,5737.518422,0.002471186
166731,06002,2321767.063,1396.990361,0.000601693
166731,06002,2321767.063,10718.53548,0.004616542
166731,06002,2321767.063,882.5885758,0.000380137
166731,06002,2321767.063,84.79061696,3.65199E-05
166731,06002,2321767.063,306.0487604,0.000131817
166731,06002,2321767.063,683.3700939,0.000294332
166732,06002,2321767.063,3184.251354,0.001371478
166732,06002,2321767.063,5295.434376,0.002280778
166733,06002,2321767.063,239.9124264,0.000103332
166733,06002,2321767.063,2012.647537,0.00086686
166736,06002,2321767.063,5619.008146,0.002420143
166737,06002,2321767.063,940.7285896,0.000405178
166739,06002,2321767.063,6878.037731,0.002962415
166744,14065,1038395.646,1166.992395,0.001123842
166745,14065,1038395.646,1905.211505,0.001834765
166762,16089,2071585.463,553.3073867,0.000267094
166763,16089,2071585.463,6377.122759,0.003078378
166769,16012,1642052.455,7750.336307,0.004719908
166774,16012,1642052.455,2874.381653,0.001750481
166774,16012,1642052.455,5965.38671,0.003632884
166774,16012,1642052.455,484.4798481,0.000295045
166775,16006,916516.9126,700.150019,0.000763925
166775,16012,1642052.455,4119.128951,0.002508525
166777,16006,916516.9126,1381.482804,0.001507318
166778,16006,916516.9126,775.4312954,0.000846063
166779,16006,916516.9126,6591.424504,0.00719182
166780,16006,916516.9126,6787.41824,0.007405666
166786,16064,505674.2737,6433.228918,0.012722081
166790,16055,287900.4486,93.60110684,0.000325116
166790,16064,505674.2737,2877.59115,0.005690602
166791,16033,876946.2688,6027.361007,0.006873125
166792,16033,876946.2688,1423.582519,0.001623341
166793,16033,876946.2688,748.9537066,0.000854047
166802,16009,1182044.004,2401.19984,0.002031396
166803,16009,1182044.004,5797.664196,0.004904779
167767,06007,3365013.159,3597.501097,0.00106909
167768,06007,3365013.159,4995.044963,0.001484406
167768,06007,3365013.159,1650.334395,0.000490439
167768,06007,3365013.159,3144.514748,0.000934473
167769,06007,3365013.159,6594.084356,0.001959601
167769,06007,3365013.159,16136.69384,0.004795433
167770,06007,3365013.159,3279.158618,0.000974486
167770,06007,3365013.159,12768.31128,0.003794431
167771,06007,3365013.159,14404.08211,0.004280543
167773,06007,3365013.159,6267.568525,0.001862569
167781,06001,1340125.102,939.045772,0.000700715
167782,06001,1340125.102,3634.026234,0.002711707
167782,06004,788131.5091,2541.625392,0.003224875
167787,06004,788131.5091,788.1364728,0.001000006
167787,06004,788131.5091,859.0792323,0.00109002
167787,06004,788131.5091,686.6206564,0.000871201
167788,06004,788131.5091,4653.427723,0.00590438
167789,06002,2321767.063,2712.721371,0.001168387
167789,06004,788131.5091,694.605769,0.000881332
167790,06002,2321767.063,19.31925874,8.32093E-06
167790,06002,2321767.063,1089.636428,0.000469313
167790,06002,2321767.063,2218.03336,0.000955321
167790,06002,2321767.063,8279.246469,0.003565925
167790,06002,2321767.063,1825.758918,0.000786366
167790,06002,2321767.063,21.70897572,9.3502E-06
167790,06002,2321767.063,5421.297474,0.002334988
167790,06002,2321767.063,5217.964132,0.002247411
167792,06002,2321767.063,6563.946468,0.002827134
167795,06002,2321767.063,7200.31432,0.003101222
167798,06002,2321767.063,6319.051445,0.002721656
167803,14065,1038395.646,6129.43126,0.00590279
167804,14065,1038395.646,2895.934211,0.002788854
167822,16089,2071585.463,6609.103615,0.00319036
167827,16012,1642052.455,37.06531199,2.25726E-05
167828,16012,1642052.455,6850.342225,0.004171817
167833,16012,1642052.455,591.3455957,0.000360126
167833,16012,1642052.455,6473.284777,0.003942191
167834,16012,1642052.455,3232.288007,0.001968444
167835,16006,916516.9126,3.210782845,3.50324E-06
167835,16012,1642052.455,1621.073109,0.000987224
167836,16006,916516.9126,2837.955118,0.003096457
167836,16012,1642052.455,4955.602105,0.003017932
167837,16006,916516.9126,5186.356276,0.005658768
167837,16012,1642052.455,474.5099422,0.000288974
167838,16006,916516.9126,177.1472006,0.000193283
167845,16064,505674.2737,3372.710462,0.006669729
167845,16064,505674.2737,3303.924095,0.0065337
167850,16033,876946.2688,4434.242216,0.005056458
167850,16033,876946.2688,1151.992324,0.001313641
167851,16033,876946.2688,1079.696424,0.0012312
167851,16033,876946.2688,487.3354703,0.000555719
167851,16033,876946.2688,7005.727978,0.007988777
167851,16033,876946.2688,5667.526951,0.006462798
167852,16033,876946.2688,4352.736611,0.004963516
167852,16033,876946.2688,1820.188443,0.002075599
167853,16033,876946.2688,6515.257627,0.007429483
167862,16009,1182044.004,6441.213321,0.005449216
168822,06007,3365013.159,4947.50793,0.001470279
168824,06007,3365013.159,4602.977604,0.001367893
168825,06007,3365013.159,7218.322668,0.00214511
168826,06007,3365013.159,3599.135605,0.001069575
168832,06007,3365013.159,7919.56361,0.002353502
168841,06004,788131.5091,4207.119124,0.005338093
168842,06004,788131.5091,8282.727045,0.010509321
168843,06004,788131.5091,930.5499124,0.001180704
168844,06004,788131.5091,3993.078636,0.005066513
168844,06004,788131.5091,2362.798425,0.002997975
168845,06004,788131.5091,6684.905074,0.008481967
168846,06004,788131.5091,5557.089743,0.007050968
168847,06004,788131.5091,988.9855451,0.001254848
168847,06004,788131.5091,6689.381685,0.008487647
168847,06004,788131.5091,494.938417,0.00062799
168847,06004,788131.5091,1883.183388,0.002389428
168848,06004,788131.5091,4964.069679,0.00629853
168849,06002,2321767.063,5270.312509,0.002269957
168850,06002,2321767.063,8203.110378,0.003533132
168851,06002,2321767.063,6618.882427,0.002850795
168853,06002,2321767.063,2066.43998,0.000890029
168853,06002,2321767.063,2463.870108,0.001061205
168853,06002,2321767.063,3837.120909,0.001652673
168854,06002,2321767.063,3175.927257,0.001367892
168854,06002,2321767.063,2047.640993,0.000881932
168856,06002,2321767.063,3702.714002,0.001594783
168857,06002,2321767.063,6561.357712,0.002826019
168857,06002,2321767.063,2032.750805,0.000875519
168858,06002,2321767.063,104.7092633,4.5099E-05
168858,06002,2321767.063,2497.68347,0.001075768
168858,06002,2321767.063,5177.77615,0.002230101
168858,06002,2321767.063,4690.217856,0.002020107
168858,06002,2321767.063,197.1134144,8.4898E-05
168859,06002,2321767.063,2929.375399,0.001261701
168859,14065,1038395.646,8330.958816,0.008022914
168861,14065,1038395.646,194.1384601,0.00018696
168862,14065,1038395.646,3158.780576,0.003041982
168880,16089,2071585.463,264.2727265,0.00012757
168881,16089,2071585.463,2278.407423,0.001099838
168882,16089,2071585.463,3757.899875,0.001814021
168882,16089,2071585.463,217.2801128,0.000104886
168882,16089,2071585.463,415.9919667,0.000200808
168886,16012,1642052.455,818.4014528,0.000498402
168886,16012,1642052.455,385.8597963,0.000234986
168887,16012,1642052.455,5428.523586,0.003305938
168892,16012,1642052.455,764.4946473,0.000465573
168892,16012,1642052.455,7067.481378,0.004304053
168892,16012,1642052.455,227.0633638,0.00013828
168893,16012,1642052.455,3646.635018,0.002220779
168894,16012,1642052.455,4893.169598,0.002979911
168904,16064,505674.2737,12229.88227,0.024185297
168905,16064,505674.2737,425.2306119,0.000840918
168909,16033,876946.2688,7308.869216,0.008334455
168912,16033,876946.2688,48.05530446,5.47985E-05
168913,16033,876946.2688,7861.745365,0.008964911
168914,16033,876946.2688,3279.503819,0.003739686
168915,16059,265363.6908,3618.282669,0.013635184
168915,16059,265363.6908,3699.693622,0.013941974
168916,16059,265363.6908,2493.566712,0.009396789
168916,16059,265363.6908,4449.797297,0.016768674
168917,16059,265363.6908,6482.593162,0.024429089
168918,16009,1182044.004,1520.100896,0.001285993
168918,16059,265363.6908,6605.915699,0.024893819
168919,16009,1182044.004,1595.521983,0.001349799
168919,16009,1182044.004,2585.931585,0.002187678
168920,16009,1182044.004,3230.577591,0.002733043
168921,16009,1182044.004,755.6464593,0.000639271
168921,16009,1182044.004,5899.809479,0.004991193
168921,16009,1182044.004,1651.665568,0.001397296
169881,06007,3365013.159,1043.243411,0.000310027
169881,06007,3365013.159,6161.58581,0.001831073
169882,06007,3365013.159,7466.665482,0.002218911
169883,06007,3365013.159,2841.633468,0.000844464
169891,06007,3365013.159,1894.305107,0.000562941
169892,06007,3365013.159,6008.776758,0.001785662
169893,06007,3365013.159,3766.353346,0.001119269
169894,06007,3365013.159,5216.271706,0.001550149
169901,06004,788131.5091,330.7276038,0.000419635
169902,06004,788131.5091,5628.62079,0.007141728
169905,06004,788131.5091,2310.48798,0.002931602
169906,06004,788131.5091,6698.626119,0.008499376
169906,06004,788131.5091,970.7197339,0.001231672
169907,06004,788131.5091,2274.812241,0.002886336
169907,06004,788131.5091,4772.228404,0.006055117
169907,06004,788131.5091,564.7019297,0.000716507
169907,06004,788131.5091,1023.020054,0.001298032
169909,06002,2321767.063,13158.30232,0.005667365
169910,06002,2321767.063,2970.713127,0.001279505
169910,06002,2321767.063,122.7162889,5.28547E-05
169910,06002,2321767.063,6137.350604,0.002643396
169911,06002,2321767.063,11559.03052,0.004978549
169912,06002,2321767.063,2158.007963,0.000929468
169913,06002,2321767.063,4230.915944,0.001822283
169914,06002,2321767.063,6218.799125,0.002678477
169915,06002,2321767.063,2847.430036,0.001226406
169917,06002,2321767.063,6605.960784,0.00284523
169918,14065,1038395.646,2731.555263,0.002630553
169919,14065,1038395.646,4854.361853,0.004674867
169920,14065,1038395.646,3690.310271,0.003553858
169939,14049,1244543.77,135.1730182,0.000108613
169939,16089,2071585.463,5497.606282,0.002653816
169940,14049,1244543.77,3042.370837,0.002444567
169940,16089,2071585.463,6435.218003,0.003106422
169940,16089,2071585.463,2107.248933,0.001017216
169941,16089,2071585.463,812.3279228,0.000392129
169941,16089,2071585.463,196.7293552,9.49656E-05
169941,16089,2071585.463,1821.119707,0.000879095
169946,16012,1642052.455,6767.635698,0.004121449
169947,16012,1642052.455,5088.449129,0.003098835
169948,16012,1642052.455,6010.297837,0.003660235
169949,16012,1642052.455,6006.877007,0.003658152
169950,16012,1642052.455,1710.685723,0.001041797
169950,16012,1642052.455,7249.221604,0.004414732
169950,16012,1642052.455,1150.406753,0.000700591
169951,16012,1642052.455,926.3485412,0.000564141
169963,16064,505674.2737,1720.852365,0.003403085
169964,16064,505674.2737,6538.3072,0.012929879
169968,16033,876946.2688,4944.298398,0.005638086
169969,16033,876946.2688,1931.05982,0.002202028
169973,16033,876946.2688,6664.817667,0.00760003
169973,16059,265363.6908,1217.731616,0.004588916
169974,16059,265363.6908,2841.17439,0.010706719
169974,16059,265363.6908,6096.370943,0.022973644
169974,16059,265363.6908,1018.931761,0.003839756
169979,16009,1182044.004,4243.450172,0.003589926
169980,16009,1182044.004,7669.020269,0.006487931
169981,16009,1182044.004,6704.642085,0.005672075
169982,16009,1182044.004,819.1210483,0.00069297
169983,16009,1182044.004,8802.917225,0.007447199
169983,16009,1182044.004,2069.437696,0.001750728
169983,16009,1182044.004,1138.998633,0.000963584
169984,16009,1182044.004,359.7230602,0.000304323
169987,16082,178541.7659,1281.499169,0.007177588
170935,14022,1301583.079,2474.008111,0.001900768
170937,14022,1301583.079,1421.265973,0.001091952
170938,14022,1301583.079,6402.065031,0.004918676
170939,14022,1301583.079,1068.544671,0.000820958
170940,06007,3365013.159,7829.742016,0.002326809
170940,06007,3365013.159,1632.636198,0.00048518
170940,06007,3365013.159,220.5163988,6.55321E-05
170951,06007,3365013.159,4774.745683,0.001418938
170951,06007,3365013.159,2546.661325,0.000756806
170951,06007,3365013.159,3408.003587,0.001012776
170952,06007,3365013.159,3385.729766,0.001006156
170952,06007,3365013.159,3528.994232,0.001048731
170952,06007,3365013.159,3634.658117,0.001080132
170966,06004,788131.5091,428.2227941,0.000543339
