GRIDCODE,CVENTMUN,Promedio de LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),Suma de LONG VIALIDAD x SENTIDO x CELDA
2006770,14098,2811583.951,16965.7467
2006771,14097,3089957.561,9353.565994
2006771,14098,2811583.951,10460.85083
2006772,14070,1337046.111,4853.731409
2006772,14097,3089957.561,5652.456236
2006772,14098,2811583.951,16413.17325
2006773,14070,1337046.111,38680.32645
2006774,14070,1337046.111,54546.38761
2006775,14070,1337046.111,38718.54616
2006776,14070,1337046.111,42805.4342
2006777,14070,1337046.111,43569.54056
2006778,14070,1337046.111,34974.41177
2006779,14070,1337046.111,30867.43029
2006780,14070,1337046.111,6329.214482
2006783,14101,2273956.049,532.4083054
2006784,14101,2273956.049,2987.348347
2006787,14070,1337046.111,4773.787815
2006788,14070,1337046.111,3552.02219
2006788,14101,2273956.049,16830.72093
2006789,14101,2273956.049,1113.092175
2006790,14101,2273956.049,12405.51377
2006791,14051,178263.2078,4484.50542
2006791,14101,2273956.049,413.2056165
2006792,14051,178263.2078,10075.55513
2006793,14051,178263.2078,3494.779069
2006794,14124,616296.689,2321.53791
2009933,14097,3089957.561,87.98956253
2009934,14097,3089957.561,8882.392804
2009935,14097,3089957.561,14516.39254
2009936,14097,3089957.561,21518.6688
2009937,14097,3089957.561,27430.08201
2009938,14097,3089957.561,11341.62176
2009938,14098,2811583.951,806.9501916
2009939,14097,3089957.561,2571.172529
2009939,14098,2811583.951,6504.066488
2009940,14098,2811583.951,6882.676588
2009941,14098,2811583.951,418.7127538
2009942,14098,2811583.951,4505.231535
2009943,14098,2811583.951,2779.881109
2009944,14098,2811583.951,6185.933909
2009945,14098,2811583.951,7432.245473
2009946,14097,3089957.561,8923.802877
2009947,14097,3089957.561,3263.217043
2009947,14098,2811583.951,7676.949328
2009948,14097,3089957.561,83.89782953
2009948,14098,2811583.951,20999.36188
2009949,14098,2811583.951,40499.45503
2009950,14070,1337046.111,9703.544085
2009950,14098,2811583.951,23643.61092
2009951,14070,1337046.111,46575.05563
2009952,14070,1337046.111,38006.08736
2009953,14070,1337046.111,33818.4104
2009954,14070,1337046.111,22536.42614
2009955,14070,1337046.111,19969.31083
2009956,14070,1337046.111,46076.62409
2009956,14098,2811583.951,111.8516064
2009957,14070,1337046.111,17290.20376
2009960,14101,2273956.049,868.0729821
2009961,14101,2273956.049,6738.032996
2009962,14101,2273956.049,15064.23743
2009963,14070,1337046.111,284.4815282
2009963,14101,2273956.049,25854.91991
2009964,14070,1337046.111,3462.729803
2009964,14101,2273956.049,8454.298674
2009965,14070,1337046.111,6097.359477
2009965,14101,2273956.049,16404.75066
2009966,14070,1337046.111,1415.006298
2009966,14101,2273956.049,15268.44831
2009967,14101,2273956.049,2121.139212
2009968,14101,2273956.049,23133.17658
2009969,14101,2273956.049,20740.02645
2009970,14051,178263.2078,12618.60828
2009971,14051,178263.2078,9816.92099
2009971,14124,616296.689,857.9182043
2009972,14124,616296.689,2299.532576
2013111,14097,3089957.561,3860.214469
2013112,14097,3089957.561,22851.0767
2013113,14097,3089957.561,11073.67369
2013114,14097,3089957.561,20331.30998
