GRIDCODE,CVENTMUN,Furb,Frur,Fpob
2029018,14098,9.65103E-05,,9.65103E-05
2029019,14039,4.41419E-05,,4.41419E-05
2029019,14098,0.001642339,,0.001642339
2029020,14098,0.01249975,,0.01249975
2029021,14098,0.019644842,,0.019644842
2029022,14098,0.015631344,,0.015631344
2029023,14098,0.008118515,,0.008118515
2029023,14101,3.07446E-05,,3.07446E-05
2029024,14098,1.16478E-05,,1.16478E-05
2029024,14101,0.012231946,,0.012231946
2029025,14101,0.022344712,,0.022344712
2029026,14101,0.025177605,,0.025177605
2029027,14101,0.018582895,,0.018582895
2029028,14101,0.026927849,,0.026927849
2029029,14101,0.008268093,,0.008268093
2029030,14101,,0.002438786,0.002438786
2029031,14101,,0.001560823,0.001560823
2029032,14101,,0.192273924,0.192273924
2029033,14101,,0.000975515,0.000975515
2032180,14120,8.17832E-07,,8.17832E-07
2032181,14120,0.000999391,,0.000999391
2032182,14120,0.004469452,,0.004469452
2032183,14120,0.006151732,,0.006151732
2032184,14120,0.006314481,,0.006314481
2032185,14120,0.005493378,,0.005493378
2032186,14120,0.00674875,,0.00674875
2032187,14120,0.007084061,,0.007084061
2032188,14120,0.009624247,,0.009624247
2032189,14039,1.87269E-05,,1.87269E-05
2032189,14098,0.009937235,,0.009937235
2032189,14120,0.006904956,,0.006904956
2032190,14039,0.011092325,,0.011092325
2032190,14098,0.003589186,,0.003589186
2032191,14039,0.010735845,,0.010735845
2032192,14039,0.012563053,,0.012563053
2032193,14039,0.011891561,,0.011891561
2032194,14039,0.007611134,,0.007611134
2032195,14039,0.003297935,,0.003297935
2032196,14039,0.002457901,,0.002457901
2032197,14039,0.002342196,,0.002342196
2032197,14098,0.002224729,,0.002224729
2032198,14039,0.000413329,,0.000413329
2032198,14098,0.017974215,,0.017974215
2032199,14098,0.021095825,,0.021095825
2032200,14098,0.014110474,,0.014110474
2032201,14098,0.014488196,,0.014488196
2032201,14101,0.013101578,,0.013101578
2032202,14098,0,,0
2032202,14101,0.050963513,,0.050963513
