GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_T,
5902722,08037,0.003341122,,0.003341122,1324497,,4425.305737,1324497
5902723,08037,0.006957678,,0.006957678,1324497,,9215.423802,1324497
5902724,08037,0.005199931,,0.005199931,1324497,,6887.293036,1324497
5902725,08037,0.005047512,,0.005047512,1324497,,6685.414402,1324497
5902726,08037,0.001655675,,0.001655675,1324497,,2192.936376,1324497
5902727,08037,0.001461604,,0.001461604,1324497,,1935.890595,1324497
5902728,08037,0.002955915,,0.002955915,1324497,,3915.100445,1324497
5902729,08037,0.000738172,,0.000738172,1324497,,977.7064754,1324497
5905876,08037,,0.000915751,0.000915751,,7644,7,7644
5905878,08037,,0.000130822,0.000130822,,7644,1,7644
5905880,08037,3.54453E-05,,3.54453E-05,1324497,,46.94712978,1324497
5905881,08037,8.98761E-06,,8.98761E-06,1324497,,11.9040684,1324497
5905882,08037,0.000444363,,0.000444363,1324497,,588.5577662,1324497
5905883,08037,0.000286828,,0.000286828,1324497,,379.9031516,1324497
5905884,08037,0.000715461,,0.000715461,1324497,,947.6259261,1324497
5905885,08037,0.001356434,,0.001356434,1324497,,1796.592159,1324497
5905886,08037,0.000136747,,0.000136747,1324497,,181.1209157,1324497
5905887,08037,0.000170947,,0.000170947,1324497,,226.4193625,1324497
5905888,08037,0.000210777,,0.000210777,1324497,,279.1738541,1324497
5905889,08037,0.000305103,,0.000305103,1324497,,404.1073862,1324497
5905890,08037,0.000783194,,0.000783194,1324497,,1037.338463,1324497
5905891,08037,0.002304002,,0.002304002,1324497,,3051.644058,1324497
5905892,08037,0.001197636,,0.001197636,1324497,,1586.264702,1324497
5905893,08037,0.000208976,,0.000208976,1324497,,276.7886865,1324497
5905894,08037,0.002012379,,0.002012379,1324497,,2665.390313,1324497
5905895,08037,0.002297566,,0.002297566,1324497,,3043.118937,1324497
5905896,08037,0.003222509,,0.003222509,1324497,,4268.203931,1324497
5905897,08037,0.004653924,,0.004653924,1324497,,6164.108126,1324497
5905898,08037,0.003787209,,0.003787209,1324497,,5016.147572,1324497
5905899,08037,0.006283191,,0.006283191,1324497,,8322.06793,1324497
5905900,08037,0.002681765,,0.002681765,1324497,,3551.989603,1324497
5905901,08037,0.003738987,,0.003738987,1324497,,4952.276798,1324497
5905902,08037,0.005751952,,0.005751952,1324497,,7618.442731,1324497
5905903,08037,0.006779668,,0.006779668,1324497,,8979.650023,1324497
5905904,08037,0.003682989,,0.003682989,1324497,,4878.107733,1324497
5905905,08037,0.002267363,,0.002267363,1324497,,3003.114972,1324497
5905906,08037,0.002698685,,0.002698685,1324497,,3574.399686,1324497
5905907,08037,0.000203761,,0.000203761,1324497,,269.8813834,1324497
5909053,08037,,0.000392465,0.000392465,,7644,3,7644
5909054,08037,,0.000915751,0.000915751,,7644,7,7644
5909055,08037,,0.012689691,0.012689691,,7644,97,7644
5909056,08037,,0.000130822,0.000130822,,7644,1,7644
