DB,Prof ID.,Chem.,Wt.,Chemical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,in DB,Code,Fract.,Description,Seq,Profile Start,,APIN,BCARY,BENZENE,BIGALD2,BIGALK,BIGENE,BPIN,BZALD,BZOOH,C2H2,C2H4,C2H5OH,C2H6,C3H6,C3H8,CH2O,CH3CHO,CH3COCH3,CH3COCHO,CH3COOH,CH3COOOH,CH3OH,CH4,CO,CRESOL,GLYALD,GLYOXAL,HCOOH,HYAC,ISOP,LIMON,MACR,MBO,MEK,MVK,MYRC,PHENOL,TERPROD1,TERPROD2,TOLUENE,XYLENES,NROG,NVOL
EPA,0,43704,0.0058,ACRYLONITRILE,19501,,C107-13-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43815,0.0058,ETHYLENE DICHLORIDE,19502,,C107-06-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.96,0
EPA,0,45205,0.0057,M-XYLENE,19503,,C108-38-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EPA,0,43560,0.0056,METHYLISOBUTYL KETONE,19504,,C108-10-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EPA,0,43453,0.0055,VINYL ACETATE,19505,,C108-05-4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43105,0.0054,ISOMERS OF HEXANE,19506,,S0-43105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EPA,0,43224,0.0054,1-PENTENE,19507,,C109-67-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43238,0.0054,N-DECANE,19508,,C124-18-5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43561,0.0053,CYCLOHEXANONE,19509,,C108-94-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EPA,0,43264,0.0051,HEPTENE,19510,,C25339-56-4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43562,0.0051,METHYLAMYL KETONE,19511,,C110-43-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EPA,0,43803,0.0051,CHLOROFORM,19512,,C67-66-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.4,0
EPA,0,43438,0.005,ETHYL ACRYLATE,19513,,C140-88-5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43602,0.005,PROPYLENE OXIDE,19514,,C75-56-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,90001,0.005,DODECENE,19515,,C112-41-4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43434,0.0049,N-PROPYLACETATE,19516,,C109-60-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,0
EPA,0,43444,0.0047,ISOPROPYLACETATE,19517,,C108-21-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,0
EPA,0,45101,0.0047,NAPHTHA,19518,,C8030-30-6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43111,0.0046,ISOMERS OF DODECANE,19519,,S0-43111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43377,0.0046,CARBITOL,19520,,C111-90-0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43441,0.0046,METHYLMETHACRYLATE,19521,,C80-62-6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43317,0.0045,CYCLOHEXANOL,19522,,C108-93-0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43407,0.0045,ACRYLIC ACID,19523,,C79-10-7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43308,0.0044,BUTYL CELLOSOLVE,19524,,C111-76-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.2,0
EPA,0,43433,0.0044,ETHYL ACETATE,19525,,C141-78-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.11,0
EPA,0,43510,0.0044,BUTYRALDEHYDE,19526,,C123-72-8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
