GRIDCODE,LONG,LATITUDE,Pob,UTMX,UTMY,UTMZ,
255,216,"Emisiones Guanajauto EI 2016 V4.0",,,,,
1778117,-101.7860744,19.90905617,6,0,2522321.774,878649.0616,14
1778118,-101.7764907,19.90904235,6,0,2523321.774,878649.0616,14
1778119,-101.766907,19.90902792,6,0,2524321.774,878649.0616,14
1778120,-101.7573233,19.90901288,6,146,2525321.774,878649.0616,14
1778121,-101.7477396,19.90899724,6,0,2526321.774,878649.0616,14
1778122,-101.7381559,19.90898099,6,9,2527321.774,878649.0616,14
1778123,-101.7285722,19.90896414,6,0,2528321.774,878649.0616,14
1778124,-101.7189885,19.90894668,6,938,2529321.774,878649.0616,14
1778125,-101.7094048,19.90892862,6,0,2530321.774,878649.0616,14
1778126,-101.6998211,19.90890995,6,0,2531321.774,878649.0616,14
1778127,-101.6902374,19.90889068,6,0,2532321.774,878649.0616,14
1778128,-101.6806537,19.9088708,6,0,2533321.774,878649.0616,14
1778129,-101.6710701,19.90885031,6,0,2534321.774,878649.0616,14
1778130,-101.6614864,19.90882922,6,0,2535321.774,878649.0616,14
1778131,-101.6519027,19.90880752,6,0,2536321.774,878649.0616,14
1778132,-101.6423191,19.90878521,6,0,2537321.774,878649.0616,14
1778133,-101.6327354,19.9087623,6,0,2538321.774,878649.0616,14
1778134,-101.6231517,19.90873879,6,0,2539321.774,878649.0616,14
1778135,-101.6135681,19.90871467,6,0,2540321.774,878649.0616,14
1778136,-101.6039844,19.90868994,6,0,2541321.774,878649.0616,14
1778137,-101.5944008,19.90866461,6,0,2542321.774,878649.0616,14
1778138,-101.5848171,19.90863867,6,0,2543321.774,878649.0616,14
1778139,-101.5752335,19.90861213,6,0,2544321.774,878649.0616,14
1778140,-101.5656498,19.90858498,6,64,2545321.774,878649.0616,14
1778141,-101.5560662,19.90855722,6,0,2546321.774,878649.0616,14
1778142,-101.5464826,19.90852886,6,0,2547321.774,878649.0616,14
1778143,-101.5368989,19.90849989,6,0,2548321.774,878649.0616,14
1778144,-101.5273153,19.90847032,6,167,2549321.774,878649.0616,14
1778145,-101.5177317,19.90844014,6,0,2550321.774,878649.0616,14
1778146,-101.5081481,19.90840936,6,38,2551321.774,878649.0616,14
1778147,-101.4985645,19.90837797,6,48,2552321.774,878649.0616,14
1778148,-101.4889808,19.90834598,6,0,2553321.774,878649.0616,14
1778149,-101.4793972,19.90831337,6,0,2554321.774,878649.0616,14
1778150,-101.4698136,19.90828017,6,0,2555321.774,878649.0616,14
1778151,-101.4602301,19.90824636,6,0,2556321.774,878649.0616,14
1778152,-101.4506465,19.90821194,6,0,2557321.774,878649.0616,14
1778153,-101.4410629,19.90817691,6,0,2558321.774,878649.0616,14
1778154,-101.4314793,19.90814128,6,0,2559321.774,878649.0616,14
1778155,-101.4218957,19.90810505,6,0,2560321.774,878649.0616,14
1778156,-101.4123122,19.90806821,6,0,2561321.774,878649.0616,14
1778157,-101.4027286,19.90803076,6,0,2562321.774,878649.0616,14
1778158,-101.393145,19.90799271,6,0,2563321.774,878649.0616,14
1778159,-101.3835615,19.90795405,6,0,2564321.774,878649.0616,14
1778160,-101.3739779,19.90791479,6,0,2565321.774,878649.0616,14
1778161,-101.3643944,19.90787492,6,125,2566321.774,878649.0616,14
1778162,-101.3548109,19.90783444,6,0,2567321.774,878649.0616,14
1778163,-101.3452273,19.90779336,6,0,2568321.774,878649.0616,14
1778164,-101.3356438,19.90775167,6,127,2569321.774,878649.0616,14
1778165,-101.3260603,19.90770938,6,126,2570321.774,878649.0616,14
1778166,-101.3164768,19.90766648,6,0,2571321.774,878649.0616,14
1778167,-101.3068933,19.90762298,6,0,2572321.774,878649.0616,14
1778168,-101.2973098,19.90757887,6,0,2573321.774,878649.0616,14
1778169,-101.2877263,19.90753416,6,0,2574321.774,878649.0616,14
1778170,-101.2781428,19.90748883,6,124,2575321.774,878649.0616,14
1778171,-101.2685593,19.90744291,6,9,2576321.774,878649.0616,14
1778172,-101.2589758,19.90739638,6,969,2577321.774,878649.0616,14
1778173,-101.2493924,19.90734924,6,0,2578321.774,878649.0616,14
1778174,-101.2398089,19.90730149,6,0,2579321.774,878649.0616,14
1778175,-101.2302255,19.90725315,6,0,2580321.774,878649.0616,14
1778176,-101.220642,19.90720419,6,0,2581321.774,878649.0616,14
1778177,-101.2110586,19.90715463,6,0,2582321.774,878649.0616,14
1778178,-101.2014751,19.90710446,6,0,2583321.774,878649.0616,14
1778179,-101.1918917,19.90705369,6,0,2584321.774,878649.0616,14
1778180,-101.1823083,19.90700231,6,0,2585321.774,878649.0616,14
1778181,-101.1727249,19.90695033,6,0,2586321.774,878649.0616,14
1778182,-101.1631415,19.90689774,6,0,2587321.774,878649.0616,14
1778183,-101.1535581,19.90684455,6,0,2588321.774,878649.0616,14
1778184,-101.1439747,19.90679075,6,0,2589321.774,878649.0616,14
1778185,-101.1343913,19.90673634,6,0,2590321.774,878649.0616,14
1778186,-101.1248079,19.90668133,6,0,2591321.774,878649.0616,14
1778187,-101.1152246,19.90662571,6,0,2592321.774,878649.0616,14
1778188,-101.1056412,19.90656949,6,0,2593321.774,878649.0616,14
1778189,-101.0960579,19.90651266,6,0,2594321.774,878649.0616,14
1778190,-101.0864745,19.90645522,6,0,2595321.774,878649.0616,14
1778191,-101.0768912,19.90639718,6,0,2596321.774,878649.0616,14
1778192,-101.0673079,19.90633854,6,0,2597321.774,878649.0616,14
1778193,-101.0577245,19.90627928,6,0,2598321.774,878649.0616,14
1778194,-101.0481412,19.90621943,6,0,2599321.774,878649.0616,14
