GRIDCODE	CVENTMUN	Ft
58965	20263	1
58965	20291	0.004557783
58968	20533	0.613614909
58989	20410	0.009618178
58989	20428	0.092761644
58989	20428	0.034475677
58997	20008	0.100203751
58998	20008	0.06472437
59021	20248	0.014782772
59072	07097	0.097144534
59085	07107	0.071921725
59090	07107	0.038091198
59091	07107	0.033252508
59098	07107	0.00563645
59099	07020	0.003963418
59099	07107	0.052035809
59102	07020	0.034041593
59103	07020	0.008497104
59111	07020	0.004966096
59112	07020	0.079552757
59129	07099	0.031994248
59130	07099	0.031468006
59130	07099	0.006392758
59131	07099	0.023494295
59131	07099	0.026711479
59131	07099	0.009073258
59132	07099	0.021410003
59132	07099	0.010801559
59133	07099	0.03685336
59134	07099	0.006504912
59136	07099	0.004933185
59137	07099	0.008312992
59138	07099	0.030271578
59139	07099	0.024550929
59961	20485	0.295318168
59964	20507	0.464824918
59965	20507	0.466468586
59966	20482	0.143551973
59966	20507	0.068706496
59967	20482	0.01470096
59980	20090	0.188899738
59980	20090	0.119525397
59980	20414	0.013200972
59982	20367	0.194605864
59983	20367	0.253932796
59983	20367	0.008254084
59984	20467	0.053267809
59985	20489	0.29656525
59985	20467	0.015604799
59985	20489	0.169174602
59985	20489	0.158778638
59986	20489	0.193339891
59986	20489	0.067309688
59993	20543	0.048089104
60001	20213	0.223108434
60024	20059	0.0399861
60024	20362	0.138179098
60025	20059	0.009527515
60025	20362	0.270819201
60027	20533	0.025287375
60029	20059	0.051153782
60030	20059	0.018117258
60035	20126	0.138123218
60036	20126	0.080013876
60037	20209	0.331858755
60038	20209	0.222899883
60038	20319	1
60038	20209	0.054768183
60038	20209	0.124422728
60047	20428	0.746578463
60048	20410	0.001679257
60048	20410	0.040161453
60048	20428	0.098633398
60048	20410	0.000786773
60049	20410	0.081957714
60050	20410	0.039347752
60050	20410	0.076293618
60051	20410	0.082914847
60057	20052	0.109788344
60057	20008	0.059781824
60058	20052	0.037988369
60079	20248	0.030177391
60079	20308	0.885470336
60080	20248	0.148474913
60081	20248	0.132640957
60082	20248	0.132357938
60083	20248	0.134638523
60084	20248	0.137043067
60085	20248	0.051395637
60085	20248	0.082050512
60086	20248	0.134924915
60087	20043	0.070326446
60087	20248	0.001513375
60088	20043	0.070255194
60089	20043	0.0703252
60090	20043	0.070130279
60131	07097	0.003446259
60132	07097	0.082655393
60133	07097	0.055300628
60136	07107	0.039033012
60144	07107	0.000250994
60150	07107	0.056243336
60158	07107	0.021477856
60162	07020	0.00785037
60170	07020	0.076863301
60171	07020	0.010910776
60186	07099	0.01100432
60186	07019	0.050656446
60187	07099	0.037850462
60188	07099	0.001761949
60193	07099	0.029589349
60194	07099	0.033656178
60195	07099	0.042306502
60196	07099	0.028266241
60197	07099	0.00618993
61020	20485	0.626596692
61034	20482	0.41436112
61039	20090	0.09688128
61040	20090	0.355340162
61042	20082	0.02147149
61042	20367	0.379149677
61044	20489	0.073051312
61044	20467	0.024576049
61045	20467	0.034390126
61069	20314	0.581072774
61069	20159	0.016127429
61070	20159	0.026839874
61080	20059	0.080468598
61080	20353	0.071875261
61081	20353	0.149192094
61083	20384	0.037015468
61084	20362	0.116632606
61084	20362	0.107370979
61084	20384	0.034125043
61085	20059	0.016237475
61085	20362	0.358832583
61086	20059	0.005415731
61087	20059	0.069669847
61088	20059	0.023085141
61089	20059	0.017087184
61089	20167	1
61093	20126	0.146445832
61094	20126	0.105771424
61095	20126	0.114734404
61096	20209	0.266050451
61096	20126	0.013488672
61106	20428	0.027550817
61110	20410	0.037197192
61111	20125	0.016243937
61111	20410	0.065680177
61112	20410	0.019196777
61112	20410	0.075456296
61113	20410	0.002487432
61117	20052	0.087384309
61117	20008	0.035852465
61122	20282	0.154442255
61123	20282	0.184665604
61124	20282	0.124846685
61138	20308	0.114529664
61171	20327	0.405823665
61195	07107	0.001900661
61196	07107	0.057967456
61197	07107	0.030782591
61198	07108	0.024364475
61199	07108	0.062814775
61199	07107	0.000552301
61200	07108	0.043398134
61209	07107	0.002962101
61226	07020	0.039460455
61227	07020	0.066468725
61228	07020	0.078273224
61229	07020	0.065320972
61230	07020	0.052040126
61243	07019	0.116431043
61243	07104	0.026983706
61244	07019	0.307720415
61245	07019	0.14641262
61258	07099	0.001771897
61259	07099	0.004517666
61259	07099	0.042205031
61260	07099	0.004653009
62077	12023	0.119660622
62079	20485	0.078085139
62093	20482	0.190641932
62099	20090	0.239353423
62099	20225	0.293386407
62101	20082	0.003188067
62102	20082	0.459557348
62104	20467	0.070007743
62125	20277	0.041075431
62126	20277	0.074136086
62127	20277	0.047739583
62127	20314	0.09418649
62127	20314	0.176665103
62127	20314	0.051440736
62127	20277	0.009724982
62127	20314	0.006762348
62127	20277	0.015539433
62128	20314	0.08987255
62140	20353	0.357967347
62140	20353	0.013744116
62141	20353	0.126187504
62141	20353	0.281033677
62141	20384	0.000256222
62143	20384	0.21107148
62144	20059	0.007486881
62144	20059	0.019694169
62144	20061	1
62144	20362	0.008165534
62144	20384	0.017496193
62144	20059	0.004423598
62145	20059	0.020947704
62145	20059	0.005212691
62146	20059	0.036697466
62146	20059	0.012311689
62146	20059	0.018916763
62147	20059	0.034370378
62147	20538	0.415997877
62147	20059	0.017246135
62147	20538	0.18471043
62148	20059	0.034076067
62148	20538	0.107288532
62149	20154	0.729402779
62150	20059	0.044145309
62150	20154	0.270597221
62151	20059	0.021188415
62151	20126	0.106937702
62152	20126	0.04246443
62152	20126	0.019577975
62156	20074	0.412920315
62157	20074	0.587079685
62157	20361	0.052510944
62157	20361	0.03924071
62157	20361	0.01726679
62157	20361	0.111913655
62158	20361	0.236971936
62159	20361	0.317042299
62159	20361	0.003876902
62172	20410	0.094680531
62173	20410	0.020651764
62176	20008	0.137133775
62177	20008	0.06825947
62182	20282	0.067728764
62183	20282	0.237210705
62195	20124	0.030541553
62196	20124	0.172822771
62216	20141	0.093947791
62219	20141	0.001129642
62220	20141	0.020444015
62220	20143	0.121973852
62230	20025	0.038480868
62230	20327	0.594176335
62256	07108	0.006599496
62256	07107	0.026240888
62257	07108	0.024547262
62257	07107	0.016340258
62258	07108	0.009343439
62258	07107	0.002842256
62259	07108	0.00328647
62259	07107	0.02060087
62260	07107	0.05486005
62261	07108	0.007063015
62261	07107	0.012949287
62302	07104	0.404309169
62303	07019	0.095761313
62303	07104	0.17898082
62304	07019	0.283018163
62316	07099	0.024458173
62317	07099	0.033267821
63135	12023	0.023298199
63135	12023	0.032170139
63136	12023	0.026329215
63136	12023	0.06556705
63158	20225	0.020531263
63158	20225	0.057720106
63159	20225	0.462429577
63161	20082	0.165342787
63163	20467	0.050286253
63163	20467	0.044743693
63182	20277	0.040595475
63182	20477	0.074406124
63183	20277	0.0592216
63184	20277	0.033314161
63186	20277	0.005979044
63187	20277	0.006820989
63200	20384	0.340899409
63201	20059	0.004986108
63201	20384	0.359136185
63206	20538	0.055581255
63206	20235	0.034572343
63206	20538	0.236421906
63207	20235	0.16153576
63210	20126	0.107920272
63210	20146	0.00585277
63211	20146	0.394833086
63212	20146	0.19365005
63212	20146	0.390235718
63212	20170	0.000310159
63218	20361	0.03350408
63218	20125	0.07523552
