GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
21009,7105,0.000777484,0.002611648,0.001774434,5,20,25
22040,7003,,0.00021182,0.000145033,,4,4
22041,7003,,0.000370684,0.000253807,,7,7
22045,7071,,0.000917963,0.000681028,,19,19
22046,7071,,0.001690985,0.001254525,,35,35
22047,7071,,0.003526911,0.002616581,,73,73
22048,7071,,0.002270751,0.001684648,,47,47
22049,7040,,0.015109179,0.005685469,,292,292
22050,7040,,0.047293801,0.017796297,,914,914
22051,7040,,0.066490738,0.025019958,,1285,1285
22052,7040,,0.143330229,0.053934072,,2770,2770
22053,7040,,0.009520853,0.003582624,,184,184
22054,7103,,0.154242438,0.124497992,,3503,3503
22055,7103,,0.036149883,0.029178662,,821,821
22056,7103,,0.024613623,0.019867079,,559,559
22057,7037,,0.004541935,0.002631264,,88,88
22057,7103,,0.060014971,0.048441554,,1363,1363
22058,7037,,0.003096774,0.001794044,,60,60
22058,7089,,0.002142874,0.000583553,,187,187
22058,7103,,0.004975563,0.004016064,,113,113
22059,7089,,0.006738019,0.001834914,,588,588
22060,7089,,0.003116907,0.000848804,,272,272
22061,7089,,0.022700708,0.006181912,,1981,1981
22062,7015,,0.00137741,0.000776061,,34,34
22062,7089,,0.006795315,0.001850517,,593,593
22063,7015,,0.123440285,0.069548743,,3047,3047
22064,7015,,0.105209853,0.05927735,,2597,2597
22065,7015,,0.046183763,0.026020862,,1140,1140
22066,7015,,0.02815589,0.015863596,,695,695
22066,7105,,0.042961609,0.023351551,,329,329
22067,7105,0.194837506,0.2930269,0.248207822,1253,2244,3497
22068,7105,,0.001436406,0.000780751,,11,11
23099,7003,,0.000900233,0.000616389,,17,17
23103,7003,,0.0113853,0.007795504,,215,215
23103,7071,,0.000966277,0.000716872,,20,20
23104,7071,,0.053531742,0.039714685,,1108,1108
23105,7071,,0.051454247,0.038173411,,1065,1065
23106,7071,,0.058701324,0.043549948,,1215,1215
23107,7071,,0.065030438,0.048245457,,1346,1346
23108,7071,,0.027973717,0.020753432,,579,579
23109,7071,,0.020291816,0.015054303,,420,420
23111,7040,,0.013815585,0.005198699,,267,267
23112,7040,0.595386008,0.009572597,0.374948889,19072,185,19257
23113,7040,0.077607467,,0.048404369,2486,,2486
23113,7103,0.265941762,0.090396724,0.124249209,1443,2053,3496
23114,7103,0.206413564,0.053806525,0.083235597,1120,1222,2342
23115,7103,,0.014838624,0.011977112,,337,337
23116,7089,,0.011986341,0.00326415,,1046,1046
23116,7103,,0.003038175,0.002452287,,69,69
23117,7089,,0.006760938,0.001841155,,590,590
23118,7089,,0.016810671,0.004577923,,1467,1467
23119,7089,,0.006348406,0.001728813,,554,554
23120,7089,,0.000767768,0.00020908,,67,67
23121,7089,,0.012559301,0.00342018,,1096,1096
23122,7015,,0.028074866,0.015817945,,693,693
23122,7089,,0.008823597,0.002402863,,770,770
23123,7015,,0.014989467,0.008445368,,370,370
23126,7105,,0.00052233,0.000283909,,4,4
24156,7003,,0.02038763,0.013959391,,385,385
24157,7003,,0.007625503,0.005221175,,144,144
24158,7003,,0.03590341,0.024583031,,678,678
24161,7003,,0.020811269,0.014249456,,393,393
24162,7003,,5.30E-05,3.63E-05,,1,1
24163,7003,,0.067093836,0.045939086,,1267,1267
24164,7071,,0.016426708,0.012186817,,340,340
24165,7071,,0.131220408,0.09735116,,2716,2716
24167,7071,,0.007585274,0.005627442,,157,157
24168,7071,,0.010387477,0.007706369,,215,215
24169,7040,,0.007244127,0.00272591,,140,140
24169,7071,,0.000144942,0.000107531,,3,3
24170,7040,,0.012470247,0.004692459,,241,241
24171,7040,0.243842288,0.063179137,0.175860122,7811,1221,9032
24172,7040,0.083164237,0.003311601,0.053116299,2664,64,2728
24172,7103,,0.117784334,0.095070548,,2675,2675
24173,7103,0.527644674,0.099995597,0.182464371,2863,2271,5134
24174,7089,,0.004423258,0.001204552,,386,386
24174,7103,,0.006428603,0.005188897,,146,146
24175,7089,,0.007219306,0.001965979,,630,630
24175,7103,,0.004271058,0.003447418,,97,97
24176,7089,,0.001260514,0.000343266,,110,110
24177,7089,,0.004343043,0.001182708,,379,379
24178,7089,,0.014518827,0.003953803,,1267,1267
24179,7089,,0.004698279,0.001279447,,410,410
24180,7089,,0.004514931,0.001229517,,394,394
24181,7015,,0.00214714,0.001209742,,53,53
24181,7089,,0.004950382,0.0013481,,432,432
25215,7003,,0.005189578,0.003553299,,98,98
25218,7003,,0.001006143,0.000688905,,19,19
25219,7003,,0.002330015,0.001595359,,44,44
25220,7003,,0.006990044,0.004786077,,132,132
25221,7003,,0.02017581,0.013814358,,381,381
25222,7003,,0.058091506,0.039775199,,1097,1097
25223,7003,,0.016098284,0.01102248,,304,304
25224,7071,,0.036621896,0.027169433,,758,758
25225,7071,,0.010194222,0.007562995,,211,211
25226,7071,0.000833218,0.040825201,0.030502885,6,845,851
25227,7071,0.000555478,0.107160112,0.079644432,4,2218,2222
25228,7040,,0.021525406,0.008099846,,416,416
25228,7071,,0.032080394,0.023800136,,664,664
25229,7040,,0.021939356,0.008255612,,424,424
25230,7040,,0.00714064,0.002686968,,138,138
25231,7040,,0.010141778,0.003816274,,196,196
25232,7103,,0.01673198,0.013505349,,380,380
25233,7103,,0.064241997,0.051853431,,1459,1459
25234,7103,,0.029853375,0.024096386,,678,678
25235,7089,,0.005981711,0.001628954,,522,522
25236,7089,,0.005672312,0.001544698,,495,495
25237,7057,,0.003152279,0.002068896,,143,143
25237,7089,,0.001283432,0.000349507,,112,112
25238,7089,,9.17E-05,2.50E-05,,8,8
25239,7089,,0.00570669,0.00155406,,498,498
25240,7089,,0.010553939,0.002874074,,921,921
25241,7015,,0.050923675,0.028691425,,1257,1257
25242,7015,,0.005104521,0.00287599,,126,126
26275,7003,,0.012550307,0.008593183,,237,237
26276,7003,,0.023406058,0.016026106,,442,442
26277,7003,,0.017739886,0.012146483,,335,335
26278,7003,,0.027377674,0.018745468,,517,517
26279,7003,,0.003971616,0.002719362,,75,75
26280,7003,,0.000423639,0.000290065,,8,8
26281,7003,,0.000953188,0.000652647,,18,18
26282,7003,,0.028860411,0.019760696,,545,545
26282,7032,,0.006805782,0.004024212,,121,121
26283,7003,,0.000794323,0.000543872,,15,15
26283,7032,,0.010799258,0.006385526,,192,192
26284,7032,,0.008380674,0.004955434,,149,149
26284,7071,0.005693654,0.007247077,0.006846124,41,150,191
26285,7071,0.778502986,0.003816794,0.203770744,5606,79,5685
26286,7071,0.19525066,0.011595323,0.05899853,1406,240,1646
26287,7040,,0.00041395,0.000155766,,8,8
26287,7071,,0.000531452,0.000394279,,11,11
26288,7040,,0.01443651,0.005432349,,279,279
