GRIDCODE,CVENTMUN,Fter
1387380,15008,0.014260965
1387381,15008,0.025283036
1384206,15008,0.024929766
1387382,15008,0.034264271
1387383,15008,0.034649053
1387384,15008,0.000330695
1390560,15008,0.00506408
1390561,15008,0.003225336
1377850,15008,0.014210584
1381028,15008,0.023961467
1374674,15008,0.030636818
1377851,15008,0.027341688
1377852,15008,0.005703874
1381029,15008,0.00398065
1368319,15008,0.019364797
1371496,15008,0.010273803
1371497,15008,0.015367403
1400100,15082,0.061743737
1307977,12047,0.041019791
1307978,12047,0.015270891
1311155,12047,0.028742552
1298441,12047,0.041233419
1298442,12047,0.006786
1301620,12047,0.057804275
1301621,12047,0.016987917
1304799,12047,0.045006343
1304800,12047,0.008779211
1292083,12047,0.000358539
1295261,12047,0.011288688
1295262,12047,0.041360965
1295263,12047,0.040359742
1311155,12047,0.011728214
1314333,12047,0.010819199
1314334,12047,0.024719262
1327044,12047,0.019040961
1330222,12047,0.001719737
1327045,12047,0.043261385
1327046,12047,0.000532253
1317512,12047,0.039255154
1320690,12047,0.039093087
1323868,12047,0.046315261
1314334,12047,0.011234843
1330222,15117,0.019160508
1333400,15117,0.004219692
1327045,15117,0.00207723
1330223,15117,0.008337682
1307985,12037,0.004074475
1298449,12037,0.02879722
1298450,12037,0.086114753
1301628,12037,0.074863655
1304806,12037,0.052863637
1304807,12037,0.0348282
1292092,12037,0.013799972
1295270,12037,0.047651644
1292093,12037,0.078065362
1295271,12037,0.056693173
1307983,12047,0.020568516
1307984,12047,0.049310068
1307985,12047,0.003380488
1311162,12047,0.005841569
1317512,12047,0.012165705
1317513,12047,0.051207754
1320691,12047,0.002985669
1317515,12047,0.033603757
1317516,12047,0.000924246
1320692,12047,0.039977019
1320693,12047,0.012237986
1314334,12047,0.027415146
1314335,12047,0.006225409
1327042,12047,0.050906144
1327043,12047,0.032752365
1330221,12047,0.022926091
1323864,12047,0.004287063
1330221,15117,0.004543925
1330222,15117,0.023039941
1333400,15117,0.005384437
1336579,15117,0.01983051
1336580,15117,0.022807617
1336581,15117,0.014393404
1339759,15117,0.022956228
1339760,15117,0.024194449
1339761,15117,0.012085087
1333400,15117,0.0147656
1333401,15117,0.006225852
1346120,12060,0.00501188
1336587,12060,0.002150804
1339764,12060,0.010899631
1339765,12060,0.030268018
1342942,12060,0.007043305
1336588,12060,0.039045281
1336589,12060,0.010119786
1330234,12060,0.014097283
1333411,12060,0.034229007
1333412,12060,0.017899148
1330235,12060,0.022134964
1333411,12055,0.016569169
1333412,12055,0.003767889
1327058,12055,0.029850634
1327059,12055,0.063771189
1330235,12055,0.020017259
1330236,12055,0.046504121
1327060,12055,0.042982703
1323882,12055,0.004622633
1346120,15117,0.006926471
1339764,15117,0.013718124
1342942,15117,0.017187009
1355655,12060,0.011121783
1365189,15117,0.017875941
1355655,15117,0.019522365
1358833,15117,0.038759566
1362010,15117,0.022679627
1362011,15117,0.038686055
1355656,15117,0.000882718
1358834,15117,0.005882649
1362012,15117,0.004904813
1352477,15117,0.003223853
1301636,12055,0.035197948
1304814,12055,0.023412954
1349310,12060,0.00646984
1349311,12060,0.036775757
1346134,12060,0.038776817
1349312,12060,0.002900121
1342956,12060,0.002328833
1342957,12060,0.00913125
1342956,12060,0.006429942
1342957,12060,0.005513451
1346135,12060,0.029855691
1346136,12060,0.035876729
1342957,12060,0.011203701
1342958,12060,0.000728257
1342959,12060,0.030868164
1342960,12060,0.008951386
1349306,12060,0.011166631
1349307,12060,0.030087491
1349308,12060,0.031405719
1352484,12060,0.029960896
1352486,12060,0.003428072
1349309,12060,0.02974042
1349310,12060,0.027801046
1374732,12049,0.070719971
1374733,12049,0.240817283
1377911,12049,0.034987904
1371554,12049,0.012840591
1365199,12049,0.056275951
1371555,12049,0.027573961
1355666,12049,0.165333551
1358843,12049,0.141986296
1358844,12049,0.018716929
1362021,12049,0.14832719
1352488,12049,0.082420373
1349310,12060,0.001326322
1352488,12060,0.014983655
1371554,15117,0.002459469
1365199,15117,0.023536667
1368377,15117,0.02775685
1371555,15117,0.013977764
1384240,15080,0.004360949
1384241,15080,0.011168924
1381063,15080,0.011302128
1381064,15080,0.018533463
1374710,15080,0.018974318
1377888,15080,0.018511404
1381065,15080,0.020196181
1381066,15080,0.007643295
1371532,15080,0.007495932
1374720,15117,0.013014557
1371542,15117,0.026612921
1368366,15117,0.020476005
1368367,15117,0.000466724
1371543,15117,0.023016973
1371544,15117,0.025367249
1371545,15117,0.027180279
1384250,15004,0.194154319
1374715,15004,0.039144082
1374716,15004,0.058894585
1377893,15004,0.234339708
1377894,15004,0.004104973
1381072,15004,0.198854784
1384250,15117,0.00170194
1384251,15117,0.01207627
1393802,15107,0.585057842
1396980,15107,0.122681351
1396981,15107,0.292260807
1222226,12034,0.060492396
1212691,12034,0.08348448
1212692,12034,0.002846232
1215870,12034,0.085139576
1219048,12034,0.070424079
1203156,12034,0.065439161
1206334,12034,0.087659115
1209512,12034,0.062098097
1203157,12034,0.020423665
1209513,12034,0.032022285
1193623,12034,0.077695493
1196801,12034,0.071290979
1199979,12034,0.080347862
1288946,12055,0.024933307
1288947,12055,0.064231339
1288948,12055,0.054727066
1288948,12015,0.031489571
1288950,12015,0.001752761
1292126,12015,0.021045879
1292127,12015,0.124849335
1292128,12015,0.124353115
1288951,12015,0.024014829
1288952,12015,0.174749046
1292129,12015,0.116051795
