GRIDCODE,CVENTMUN,Frur,Furb,Fpob,Prur_T,Purb_T,P_tot
1609979,15058,,0.008275867,0.008275867,,5068,5068
1609980,15031,,0.010695586,0.010695586,,6504,6504
1609981,15031,,0.028956011,0.028956011,,14901,14901
1609982,15070,,0.079858448,0.079858448,,14597,14597
1609983,15031,,0.023982791,0.023982791,,6920,6920
1609984,15031,,0.013726226,0.013726226,,6492,6492
1609985,29024,0.007497657,0.012602386,0.012578263,16,5664,5680
1609986,15031,,0.002295949,0.002295949,,1406,1406
1609987,29024,0.059044049,,0.059044049,126,,126
1609988,29024,0.010777882,0.000913723,0.001033973,23,158,181
1609989,21180,0.013589503,,0.013589503,29,,29
1609990,15031,,4.58E-05,4.58E-05,,21,21
1609991,15031,,5.01E-05,5.01E-05,,23,23
1609992,15037,0.003197537,,0.003197537,27,,27
1610017,21134,0.183408156,,0.183408156,1961,,1961
1610023,15029,,0.019476497,0.019476497,,503,503
1610024,15039,,0.009447843,0.009447843,,244,244
1610027,29009,0.000467639,,0.000467639,5,,5
1610029,15039,,0.000604011,0.000604011,,15,15
1610030,21180,,0.004187807,0.004187807,,104,104
1610031,21180,,0.001248289,0.001248289,,31,31
1610033,16112,0.000968523,,0.000968523,10,,10
1610034,15111,0.000193705,,0.000193705,2,,2
1610050,29015,,0.003067276,0.003067276,,45,45
1610051,15106,0.001434446,0.050371481,0.030006367,15,739,754
1610052,29015,,0.030536432,0.030536432,,448,448
1610055,16112,0.150759392,,0.150759392,943,,943
1610058,15005,0.011151972,,0.011151972,12,,12
1610059,16112,0.001210165,0.000462255,0.000574348,6,13,19
1610060,29024,,0.004764783,0.004764783,,134,134
1610061,29024,,0.018099065,0.018099065,,509,509
1610062,29043,,0.010169612,0.010169612,,286,286
1610063,29015,0.12868092,0.000135289,0.008215635,638,10,648
1610064,29043,,0.005604946,0.005604946,,410,410
1610065,29005,,0.028126706,0.028126706,,653,653
1610066,29026,,0.044977112,0.044977112,,623,623
1610067,29005,,0.036969039,0.036969039,,443,443
1610068,29026,,0.070099307,0.070099307,,840,840
1610069,29038,,0.047150129,0.047150129,,565,565
1610070,29038,,0.038137361,0.038137361,,457,457
1610071,29038,,0.01769173,0.01769173,,212,212
1610072,29026,0.48021309,,0.48021309,1262,,1262
1610075,29038,,0.005146912,0.005146912,,103,103
1610076,29038,,0.049908552,0.049908552,,347,347
1610077,29026,1,0.052659957,0.056897477,25,293,318
1610078,29035,,0.014198418,0.014198418,,79,79
1610079,29039,,0,0,,0,0
1610084,16112,0.009643822,,0.009643822,150,,150
1610088,29035,,0.000417717,0.000417717,,29,29
1610089,29035,,0.049708318,0.049708318,,3451,3451
1610090,29035,,0.006827512,0.006827512,,474,474
1610093,29013,0.000707214,,0.000707214,11,,11
1610096,15005,0.005879006,,0.005879006,31,,31
1610101,29015,8.26E-05,,8.26E-05,1,,1
1610102,21180,0.000412916,,0.000412916,5,,5
1610103,15114,0.046824676,,0.046824676,567,,567
1610116,29013,0.106376549,,0.106376549,704,,704
1610119,29052,0.013297069,,0.013297069,88,,88
1610120,15037,0.001359927,,0.001359927,9,,9
1612984,15039,0.002456166,,0.002456166,101,,101
1612999,21180,0.013344062,,0.013344062,199,,199
1613006,15051,0.01570431,,0.01570431,1021,,1021
1613007,29007,0.000415295,0.005534688,0.003394756,27,501,528
1613008,29013,0.000676777,0.025939019,0.015379274,44,2348,2392
1613009,29013,,0.036842687,0.036842687,,3335,3335
1613010,16112,,0.075585506,0.075585506,,6842,6842
1613011,16112,,0.115676094,0.115676094,,10471,10471
1613012,16112,,0.057611578,0.057611578,,5215,5215
1613013,16112,,0.039339373,0.039339373,,3561,3561
1613014,15037,0.003399268,0.017620415,0.011675904,221,1595,1816
1613015,16112,,0.006948741,0.006948741,,629,629
1613016,16112,,0.003711887,0.003711887,,336,336
1613017,16112,,0.001568714,0.001568714,,142,142
1613018,29033,0.012228135,,0.012228135,795,,795
1613037,16112,0.026794949,,0.026794949,1114,,1114
1613038,16112,,0.00961852,0.00961852,,59,59
1613039,16112,,0.053146397,0.053146397,,326,326
1613040,15106,0.034900782,,0.034900782,1451,,1451
1613048,29026,0.020112213,0.03266266,0.020621179,1821,125,1946
1613049,15111,,0.009145545,0.009145545,,35,35
1613051,29013,0.014137086,,0.014137086,1280,,1280
1613054,15039,0.00658258,,0.00658258,596,,596
