GRIDCODE,CVE_ENTCVE_MUN,Fa
184821,16053,0.000894602
184822,16053,0.0078391
184822,16053,0.004766883
184823,16053,0.013387559
184824,16053,0.010649771
184825,16053,0.000537775
184825,16053,0.001051438
184826,16053,0.004835699
184840,16034,0.005860601
184841,16034,0.027647034
184842,16034,0.031498721
184843,16034,0.001569976
184849,16098,0.075595908
184850,16098,0.0866736
184851,16098,0.008632748
184851,16098,0.008744166
184852,16098,0.009764729
184853,16061,0.07833375
184854,16061,0.06224712
184855,16061,0.0504737
184856,16061,0.13282093
184857,16061,0.005167292
184859,15124,0.023491548
184860,15124,0.040146079
184861,15124,0.027341369
184862,15124,0.000424507
184863,15124,0.005663702
184864,15124,0.013025746
184865,15074,0.000713866
184865,15074,1.29E-05
184865,15114,0.00010873
184865,15124,0.037818822
184865,15124,6.23E-06
184866,15074,0.0233685
184866,15074,0.000856544
184866,15074,0.00098272
184866,15114,0.000647848
184866,15114,0.000269305
184866,15124,0.002359096
184867,15074,0.022338627
184867,15074,0.005301392
184868,15074,0.018294581
184868,15114,0.01060728
184869,15042,0.010271575
184869,15042,0.000761358
184869,15074,0.017364665
184869,15114,0.000533874
184870,15042,0.001055785
184870,15042,0.005971673
184870,15042,0.024074102
184871,15042,0.030110229
184871,15042,0.000991331
184872,15042,0.031101561
184873,15042,0.031101561
184874,15042,0.025392804
184875,15042,0.017786335
184875,15042,0.008404125
184875,15047,0.002728864
184875,15047,0.004219449
184876,15042,9.20E-09
184876,15042,0.001977908
184876,15047,0.002049081
184876,15047,0.022397807
184876,15047,0.002838437
184877,15042,0.001477546
184877,15047,0.021465102
184877,15047,0.003954319
184877,15047,0.016493162
184878,15047,0.0168126
184878,15047,0.002546048
184878,15047,0.024644394
184879,15047,1.19E-05
184879,15047,0.027324579
184879,15047,0.01666655
184880,15047,0.021297031
184881,15047,4.77E-05
184885,15038,0.14514534
184885,15060,0.00401925
184886,15038,0.242107825
184886,15060,0.007183815
184887,15038,0.035511842
184887,15038,0.005634179
184887,15060,0.000290084
184888,15038,0.234807003
184889,15013,0.05357371
184889,15038,0.016905537
184890,15013,0.20814123
185859,16056,0.00879329
185860,16056,0.076235793
185860,16056,0.000295519
185861,16056,0.07240935
185862,16032,0.005631467
185863,16032,0.007284293
185864,16032,0.034256651
185865,16032,0.072673656
185866,16032,0.076304814
185867,16032,0.025429417
185869,16100,0.006743537
185870,16100,0.105391842
185871,16100,0.105391842
185872,16100,0.093088878
185873,16100,0.001768736
185874,16100,0.002306008
185875,16048,0.016388186
185875,16048,0.000132875
185875,16053,0.000400511
185875,16100,0.001745383
185875,16100,0.000116884
185876,16048,0.112096419
185877,16048,0.020099018
185877,16053,0.002230343
185878,16053,0.002625714
185879,16053,0.013458744
185880,16053,0.013015673
185881,16053,0.006094553
185882,16053,0.001768113
185883,16053,0.009883877
185884,16053,0.000182398
185885,16053,0.000752755
185900,16034,0.017088565
185901,16034,0.027150551
185902,16034,0.011659693
185903,16034,0.000424087
185906,16098,0.004698617
185907,16098,0.008079779
185907,16098,0.027463833
185908,16098,0.085793135
185909,16098,0.040907098
185910,16061,0.002279215
185910,16098,9.68E-05
185910,16098,0.004569417
185911,16061,0.090728727
185911,16098,0.002085209
185912,16061,0.129525249
185913,16005,0.035310222
185913,16061,0.071820365
185914,16005,0.235261677
185914,16061,0.007351145
185915,16005,0.197636021
185915,16061,0.019904828
185918,15124,0.012158474
185919,15124,0.039872928
185920,15124,0.018472317
185923,15074,0.004476855
185924,15074,0.006164768
185924,15074,0.019966778
185924,15124,0.000580578
185925,15074,0.005921554
185925,15074,0.021718464
185926,15074,0.00200003
185926,15074,0.025639988
185927,15074,0.018009905
185927,15074,0.000477012
185927,15074,0.009153101
185928,15042,0.00100792
185928,15042,0.004356594
185928,15074,0.00217512
185928,15074,0.005511112
185928,15074,0.015186333
185929,15042,0.02248087
185929,15042,0.007203479
185929,15074,0.001258419
185929,15074,1.06E-06
185930,15042,0.031101561
185931,15042,0.031101561
185932,15042,0.031101561
185933,15042,0.031101561
185934,15042,0.027832885
185934,15047,0.00462458
185935,15042,0.000418867
185935,15047,0.037257189
185935,15047,0.004032255
185936,15047,0.040241845
185936,15047,0.000568006
185936,15047,0.001308464
185937,15047,0.00845197
185937,15047,0.035551072
185938,15047,0.016721077
185938,15047,0.002933466
185938,15047,0.02042926
185939,15047,0.003615097
185944,15060,0.000317579
185944,15060,0.005205338
185945,15038,0.000120213
185945,15060,0.003273706
185945,15060,0.01976617
185945,15060,0.002923668
185946,15038,0.004417076
185946,15038,0.028032412
185946,15060,0.006924743
185946,15060,0.051159222
185947,15038,0.189965758
185947,15060,0.040090235
185948,15013,0.111096166
185948,15013,0.001202405
185948,15038,0.08953088
185948,15060,0.036286002
185948,15060,0.00314087
185949,15013,0.478542532
185949,15013,0.027117573
185949,15060,0.011408803
185949,15060,0.004936349
185949,15060,0.000454155
185950,15013,0.009433972
185950,15013,9.85E-05
185950,15013,0.104050415
185950,15060,0.004324835
185950,15060,6.47E-05
185950,15060,0.009751706
185951,15013,0.002537837
186918,16056,0.001371237
186918,16056,0.010840809
186919,16056,0.067896548
186920,16056,0.085328529
186921,16032,0.015009993
186921,16056,0.047446986
186922,16032,0.019011626
186923,16032,0.065137374
186924,16032,0.025404315
186925,16032,0.020592462
186926,16032,0.063951256
186927,16032,0.001714153
186927,16073,0.001515063
186927,16100,0.000104399
186928,16100,0.014153135
186929,16100,0.03405506
186929,16100,0.000149702
186930,16073,0.001128249
186930,16100,0.042354215
186930,16100,0.04175464
186931,16073,0.025788207
186931,16073,0.001537212
186931,16100,0.062956056
186931,16100,0.001524771
186932,16073,0.025825448
186932,16100,0.033320129
186933,16073,0.015149351
186933,16100,0.009313853
186934,16048,0.002419519
186934,16053,0.0066672
186934,16100,0.00206064
186935,16048,0.025947819
186935,16053,0.007677332
186936,16053,0.000951886
186938,16053,0.00586732
186939,16053,0.011688091
186939,16053,0.001401936
186940,16053,0.003442363
186940,16053,0.004353259
186941,16053,4.36E-05
186943,16053,0.006434673
186944,16053,0.013705756
186945,16053,0.001357707
186959,16034,0.005914973
186960,16034,0.00281618
186962,16034,0.018635015
186963,16034,0.009316109
186965,16034,0.004540116
186965,16098,0.004163976
186966,16034,0.002028058
186966,16034,0.020147545
186966,16098,9.84E-06
186966,16098,0.022097507
186967,16034,0.006242931
186967,16034,0.002663296
186967,16041,0.010374678
186967,16098,0.053567735
186967,16098,0.003263075
186968,16098,0.04476346
186969,16007,0.003167451
186969,16061,0.002954471
186970,16007,0.157424172
186970,16061,0.073521195
186971,16007,0.033090036
186971,16061,0.126486727
186972,16005,0.301783638
186972,16007,0.000151654
186972,16061,0.032209063
186973,16005,0.180827223
186974,16005,0.042349867
186978,15124,0.026827318
186979,15124,0.012540394
186980,15124,0.007558594
186980,15124,0.000214462
186981,15074,0.000851886
186981,15124,0.000356203
186981,15124,0.018338179
186982,15074,0.023790402
186982,15124,0.00015431
186983,15074,0.027640018
186984,15074,0.022337794
186984,15074,0.001384543
186985,15074,0.010659967
186985,15074,0.008016243
186985,15074,0.002007485
186986,15074,0.002267274
186986,15074,0.000401076
186986,15074,0.021780131
186986,15074,0.003191537
