GRIDCODE,CVENTMUN,Suma de Fc
205983,16067,0.000581519
205994,16071,0.017993399
205995,16071,0.017237333
205996,16071,0.023792218
205997,16071,0.001417497
205998,11046,0.000288357
205999,11046,0.003750923
206008,11046,0.000306313
206009,11046,0.033063042
206010,11036,0.083578536
206010,11046,0.00180529
206012,11028,0.021274247
206013,11028,0.032838715
206013,11036,0.009422617
206016,11002,0.005424504
206019,11002,0.021806162
206029,11019,0.015858137
206041,22001,0.006741736
206042,22001,0.007163805
206055,15003,0.013202623
206056,15045,0.004076358
206057,15045,0.015882572
206061,15045,0.003286241
206062,15045,0.002279748
206062,15079,0.045731251
206063,13076,0.00275828
206063,15045,0.007723096
206063,15079,0.043014216
206064,13076,0.005903553
206066,13076,0.010487014
206067,13076,0.000975829
206069,13076,0.031385802
206074,13010,0.08791856
206074,13074,0.005894086
207041,16067,0.039687132
207042,16004,0.004639412
207042,16067,0.003256242
207045,16004,0.022139701
207054,16071,0.014010881
207055,11046,0.003794625
207055,16071,0.016599766
207056,16071,0.013625205
207058,11046,0.011313218
207067,11046,0.038922548
207072,11028,0.002596202
207073,11028,0.034680994
207074,11028,0.015423642
207078,11002,0.003145386
207087,11019,0.011933148
207088,11019,0.000745769
207108,15003,0.003467127
207109,15003,0.011190147
207117,15045,0.003045216
207118,15045,0.003134334
207119,15045,0.021816728
207120,15045,0.01611005
207122,13076,0.030590815
207123,13076,0.006613008
207126,13076,0.006988753
207128,13067,0.059989066
207128,13076,0.013305341
207129,13067,0.014400616
208100,16067,0.048164928
208104,16004,0.037716417
208105,16004,0.098446074
208114,11046,0.013585498
208114,16071,0.023188386
208118,11046,0.007549567
208119,11046,0.015565556
208120,11046,0.009971501
208125,11046,0.025076926
208126,11046,0.01263885
208129,11036,0.073512107
208130,11036,0.001087137
208147,11019,0.010338324
208161,22001,0.006285522
208166,15003,0.006448924
208167,15003,0.027062975
208168,15003,0.004517196
208176,13044,0.021104257
208176,15045,0.01147247
208178,13044,0.001883787
208179,13044,0.032439846
208179,15045,0.010315377
208180,13044,0.025687433
208180,15045,0.01079996
208181,13017,0.042448868
208181,13076,0.008326359
208181,15045,0.018285633
208182,13017,0.006912575
208188,13067,0.088848581
208192,13041,0.0366984
208192,13065,0.029060924
209159,16067,0.04623762
209164,16004,0.023841022
209165,16004,0.094193423
209165,16113,0.010198669
209166,16113,0.070293258
209167,16113,0.007394141
209173,11046,0.006521442
209173,16071,0.005081596
209174,11046,0.006761546
209174,16071,0.024136097
209177,11046,0.013914247
209184,11046,0.019316033
209189,11028,0.012290405
209189,11036,0.060401029
209193,11028,0.001509124
209206,11019,0.033234465
209220,22001,0.004546356
209221,22001,0.013502306
209222,22001,0.013627925
209223,22001,0.028215384
209224,15003,0.021830968
209224,22001,0.016525521
209225,15003,0.014527269
209234,13044,0.030702326
209235,13044,0.030606982
209237,13044,0.043660603
209240,13017,0.085735262
209241,13017,0.09660759
209246,13067,0.024146981
209247,13067,0.057118261
209248,13067,0.003891385
209251,13041,0.139881056
209255,13005,0.022934713
209256,13005,0.028374812
210218,11023,0.004767066
210218,16067,6.64097E-05
210228,16071,0.007525145
210229,16071,0.015533058
210230,16071,0.002194871
210232,16071,0.024842521
210233,16071,0.025527975
210234,16071,0.012452418
210236,11046,0.017238079
210237,11046,0.016392038
210238,11046,0.013148902
210239,11046,0.015701771
210240,11046,0.003588142
210248,11028,0.00720262
210252,11028,0.003666516
210253,11028,0.028349372
210254,11028,0.01171179
210254,11039,0.025963822
210265,11019,0.030404389
210290,13044,0.001593223
210291,13044,0.022671672
210292,13044,0.021235644
210293,13044,0.014030529
210294,13044,0.050322195
210295,13044,0.097348152
210296,13044,0.000944959
210297,13017,0.049674855
210297,13044,0.010623649
210300,13017,0.075776931
210301,13017,0.00340644
210310,13041,0.073345988
210311,13041,0.079897569
210314,13005,0.001037972
210314,13023,0.060340473
210315,13023,0.090253494
211284,16113,0.01197328
211286,16113,0.027584132
211287,16071,0.00442519
211287,16113,0.059019969
211289,16071,0.012932632
211289,16113,0.015365242
211293,11042,0.023236972
211293,16071,0.00189648
211294,11042,0.047935227
211294,11046,0.005541963
211295,11042,0.006382786
211295,11046,0.025567841
211297,11046,0.004982297
211298,11046,0.001137594
211313,11039,0.030289344
211322,11019,0.011769797
211323,11019,0.021486998
211324,11019,0.030598139
211348,13044,0.030213658
211348,15071,0.003820548
211349,13044,0.021657594
211350,13044,0.03634985
211351,13044,0.025134094
211352,13044,0.022249192
211353,13044,0.035606293
211355,13044,0.011898312
211356,13017,0.055134209
211356,13044,0.013946765
211369,13041,0.057394853
211369,13050,0.033469375
211371,13023,0.034059988
211372,13023,0.051879303
211374,13023,0.048309537
211374,13054,0.012573335
212334,11023,0.01706503
212335,11023,0.015335661
212336,11023,0.000949456
212344,16113,0.021079712
212345,16113,0.052817322
212346,16113,0.080327569
212347,16113,0.080328126
212348,16071,0.001130882
212348,16113,0.05436199
212349,16113,0.006663755
212350,11042,0.001348852
212351,11042,0.007258381
212352,11042,0.006991873
212353,11042,0.024762033
212359,11042,0.007173514
212360,11042,0.048638207
212360,11046,0.001762982
212361,11046,0.02259027
212362,11018,0.016410081
212362,11046,0.01912128
212363,11018,0.025735631
212363,11028,0.00075273
212363,11046,0.013638282
212364,11018,0.019521911
212364,11028,0.020331136
212365,11028,0.004839853
212369,11028,0.027632292
212370,11028,0.039241169
212370,11039,0.000433381
212371,11039,0.023913491
212372,11039,0.009189093
212373,11039,0.024299717
212374,11039,0.055888696
212375,11039,0.046252943
212376,11039,0.019437318
212382,11019,0.021022276
212386,11010,0.017311226
212387,11010,0.065483591
212387,11019,0.012308247
212387,22008,0.008812277
212402,22016,0.001845685
212407,13044,0.021482197
212415,13017,0.06163111
212415,13044,0.009035628
212428,13050,0.074678103
212429,13041,0.052903576
212429,13050,0.031152173
212430,13023,0.050041934
212430,13041,0.032916436
212431,13023,0.075382568
213394,11023,0.005943649
213395,11023,0.010720465
213406,16113,0.005211434
213407,16113,0.003043291
213410,11042,0.013553958
213411,11042,0.019338243
213412,11042,0.018917595
213418,11042,0.027293722
213421,11018,0.027738112
213422,11018,0.052316426
213423,11018,0.077944384
213424,11018,0.079336388
213429,11028,0.010154499
213433,11039,0.060094991
213435,11039,0.001405695
213436,11019,0.003684012
213437,11019,0.018065693
213438,11019,0.002766021
213441,11019,0.014301044
213446,22008,0.002357828
213447,16031,0.001414523
213447,22008,0.044952916
213448,22008,0.023356472
213449,22008,0.00717894
213464,13029,0.008992162
213466,13044,0.000445781
213473,13029,0.001711445
213474,13029,0.020538117
213474,13044,0.015059578
214452,11023,0.002540403
214453,11023,0.015925515
214470,11042,0.00851857
214471,11042,0.034555389
214472,11042,0.007069068
214481,11018,0.037464958
