GRIDCODE,CVE_ENTCVE_MUN,Fb
181704,15067,0.004939618
181704,15067,0.000497849
181704,15087,0.077490466
181704,15087,0.011742517
181704,15087,0.000897478
181705,15067,0.008851448
181705,15067,0.008618209
181705,15067,0.063024326
181705,15087,0.000455417
181705,15087,0.023755539
181705,15087,0.011577474
181706,15067,0.077209164
181706,15067,0.048774944
181706,15067,0.001559497
181707,15067,0.001570208
181707,15067,0.122059402
181708,15046,8.44E-05
181708,15067,0.02918932
181708,15067,0.055551806
181708,15115,0.056313607
181708,15115,0.031053052
181709,15046,0.057309894
181709,15046,0.00303498
181709,15067,0.00328408
181709,15115,0.0849399
181710,15046,0.020340763
181710,15046,0.006913134
181710,15046,0.056802506
181710,15046,4.38E-05
181711,15046,0.053693948
181711,15046,0.012325841
181711,15057,0.008302355
181711,15057,0.009110188
181712,15046,0.002226915
181712,15057,0.096025679
181713,15057,0.098482692
181714,15057,0.077526096
181715,15057,0.001908888
181722,15058,0.002447369
182682,16090,0.003086566
182682,16090,0.081446505
182683,16090,0.083726597
182684,16090,0.07763944
182685,16090,0.020531014
182686,16066,0.007077596
182686,16090,0.000430329
182687,16032,0.004870886
182687,16066,0.012274274
182687,16066,0.016872776
182688,16032,0.030830164
182688,16066,0.004460937
182689,16066,3.56E-05
182689,16066,0.000279994
182690,16066,0.000830551
182692,16066,0.001889737
182693,16066,0.016606709
182694,16066,0.01557129
182695,16066,0.007428415
182696,16039,0.05493909
182696,16066,0.00248417
182697,16039,0.001539481
182702,16001,0.002453946
182702,16053,0.001423788
182703,16001,0.04575876
182703,16053,0.009299092
182704,16001,0.002999854
182704,16053,0.004560225
182705,16053,0.001972642
182705,16053,0.002342198
182706,16053,0.00393435
182707,16049,0.003366886
182707,16053,0.012205566
182708,16049,0.018549951
182708,16053,0.00470131
182709,16049,0.017109494
182709,16053,0.002503944
182709,16101,0.002794185
182710,16049,0.009887161
182710,16049,0.000369697
182710,16101,0.006769068
182710,16101,0.002027937
182711,16049,0.000974226
182711,16101,0.003771822
182711,16101,0.010046246
182712,16101,0.001029228
182712,16101,0.013315808
182713,16101,0.014345035
182714,16101,0.013459001
182714,16101,0.000886034
182715,16101,0.005966496
182715,16101,0.008378539
182716,16101,0.014345035
182717,16101,0.003707779
182717,16101,0.010637256
182718,16034,0.002340805
182718,16101,0.004599352
182718,16101,0.00606434
182719,16034,8.47E-05
182719,16034,0.009036693
182720,16034,0.009068854
182720,16034,5.25E-05
182721,16034,0.009121378
182722,16034,0.008954141
182722,16034,0.000167237
182723,16034,0.009121378
182724,16034,0.003726507
182724,16034,0.005394871
182725,16034,0.002762023
182725,16034,0.006359355
182726,16034,0.004140623
182726,16034,0.004980755
182727,16034,0.006391696
182727,16034,0.002310911
182727,16098,0.002246381
182728,16034,0.000398993
182728,16047,0.008111105
182728,16098,0.038251359
182728,16098,3.04E-06
182729,16047,0.005675531
182729,16047,0.001051533
182729,16098,0.033175232
182729,16098,0.008675733
182730,16047,0.000187006
182730,16098,0.007262239
182730,16098,0.033311644
182731,16047,0.004219322
182731,16098,0.031300057
182732,16047,0.001136389
182732,16047,0.002164687
182732,16098,0.035115527
182732,16098,0.010340222
182733,16047,0.00116095
182733,16047,0.001478926
182733,16098,0.012272114
182733,16098,0.013116955
182733,16112,0.014214114
182733,16112,1.22E-05
182734,16098,0.00284877
182734,16098,0.003090883
182734,16112,0.022639351
182734,16112,0.006816843
182735,16061,0.004407928
182735,16098,0.004334261
182735,16112,0.005703805
182735,16112,0.023582729
182736,16061,0.016833005
182736,16112,0.028677409
182737,16061,0.002602764
182737,16061,0.011091677
182737,16112,0.001929995
182737,16112,0.027651452
182738,16061,0.00031548
182738,16061,0.001070362
182738,16112,0.002287261
182738,16112,0.029834211
182739,16061,1.64E-05
182739,16112,0.025520605
182740,16112,0.032931035
182741,15124,0.013549981
182741,16112,0.010880353
182741,16112,0.005477335
182742,15124,0.005006968
182744,15114,0.028574096
182744,15124,0.008060077
182745,15114,0.006309827
182745,15124,0.023395734
182746,15114,0.025342394
182746,15114,0.009868229
182746,15124,0.008913709
182747,15114,0.05145493
182747,15114,0.00153722
182747,15114,6.96E-06
182748,15114,0.03414363
182748,15114,0.018855481
182749,15114,0.04588505
182749,15114,0.006566917
182750,15005,0.013153366
182750,15114,0.030829799
182751,15005,0.051850781
182752,15005,0.024555857
182752,15005,0.009031602
182753,15005,0.064754396
182754,15005,0.063646591
182754,15042,0.004084065
182755,15005,0.021234502
182755,15042,0.086875153
182756,15042,0.083866636
182757,15042,0.033719281
182758,15042,0.092110032
182758,15047,0.012058507
182758,15087,0.003882334
182759,15042,0.003618293
182759,15047,0.030025376
182759,15087,0.045270968
182760,15047,0.030457582
182760,15047,0.009979452
182760,15087,0.016405091
182761,15047,0.037191888
182761,15087,0.011328387
182762,15047,0.013075722
182762,15047,0.00017372
182762,15087,0.072539442
182762,15087,0.001470374
182763,15087,0.051364621
182763,15087,0.001412507
182763,15087,0.041823645
182764,15067,0.001258477
182764,15067,0.000309312
182764,15087,0.000671669
182764,15087,0.000292398
182764,15087,0.002011399
182764,15087,0.026910995
182764,15087,0.063568819
182765,15038,0.001060036
182765,15067,0.03400018
182765,15067,4.34E-06
182765,15067,0.003148004
182765,15087,0.040322084
182765,15087,0.000702138
182765,15087,0.025639866
182766,15038,0.038391026
182766,15046,0.001563253
182766,15067,0.0702475
182766,15067,0.007758725
182766,15087,0.007285008
182767,15038,0.006955725
182767,15046,0.04574699
182767,15046,0.015808032
182767,15067,0.033030633
182767,15067,4.86E-05
182768,15046,0.009325057
182768,15046,1.87E-06
182768,15046,0.073463127
182769,15046,0.051475652
182769,15046,0.00994098
182770,15046,0.035950447
182770,15046,0.028767605
182771,15046,0.065857905
182771,15057,0.025819933
182772,15013,0.002572385
182772,15046,0.001824763
182772,15057,0.094958542
182773,15057,0.077921936
182774,15057,0.004968451
183741,16056,0.021183738
183741,16090,0.043014668
183741,16090,0.016497742
183742,16056,0.022888758
183742,16056,3.13E-05
183742,16090,0.018650278
183742,16090,0.038809967
183743,16056,0.000105353
183743,16056,0.00105633
183743,16090,0.077758434
183744,16066,8.18E-06
183744,16090,0.002845932
183744,16090,0.020199669
183745,16032,0.011760405
183745,16066,0.015450643
183745,16090,0.017663545
183746,16032,0.025578697
183746,16032,0.011953167
183746,16066,0.00300235
183746,16066,0.001263474
183747,16032,0.060467885
183747,16032,0.00793356
183748,16032,0.002970889
183748,16032,0.01725346
183748,16032,0.005173302
183748,16066,0.000518918
