GRIDCODE,CVE ENTCVE MUN,LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),LONG VIALIDAD x SENTIDO x CELDA
173217,15007,19854.036,1018.564842
172157,15007,19854.036,14119.1281
149913,15008,55364.7877,19047.95427
150972,15008,55364.7877,3132.760006
167965,15009,245217.8689,85194.07603
169024,15009,245217.8689,73057.19735
169025,15009,245217.8689,21490.46788
167966,15009,245217.8689,24170.95126
169024,15017,63869.9967,3992.752035
167965,15017,63869.9967,1067.194211
169023,15009,245217.8689,2983.743135
170082,15017,63869.9967,20.74856201
170082,15009,245217.8689,53.99200365
169023,15017,63869.9967,32027.49537
170083,15009,245217.8689,891.9516972
166907,15009,245217.8689,20660.67605
166908,15009,245217.8689,14308.23157
166908,15015,236921.093,2408.017626
166907,15015,236921.093,999.4820026
201838,15010,188558.4983,23274.71274
200780,15010,188558.4983,65135.00041
200779,15010,188558.4983,62760.02489
201839,15010,188558.4983,20337.97315
200779,15096,449219.7593,2239.927382
200780,15096,449219.7593,606.6505241
199720,15010,188558.4983,16359.83913
199720,15096,449219.7593,66.82012475
185963,15011,251952.5948,9461.930162
184904,15011,251952.5948,65501.72032
184903,15011,251952.5948,4521.276038
185962,15011,251952.5948,44585.49025
185962,15100,413962.4626,9154.916795
185963,15100,413962.4626,40789.14236
187020,15011,251952.5948,25100.02405
170058,15101,345991.7441,28357.28795
184893,15013,2467738.39,228022.265
183833,15013,2467738.39,177076.1204
183834,15013,2467738.39,38952.17658
184892,15013,2467738.39,290346.4203
185951,15013,2467738.39,430601.2425
187011,15013,2467738.39,143143.8211
185952,15013,2467738.39,338605.4167
183832,15057,3297956.521,44317.21621
183833,15057,3297956.521,61207.10653
187010,15013,2467738.39,194189.014
185950,15013,2467738.39,112785.9294
184890,15013,2467738.39,186766.1351
183831,15013,2467738.39,64877.76273
184891,15013,2467738.39,108111.0067
185949,15013,2467738.39,81971.61283
185948,15013,2467738.39,21806.57723
184889,15013,2467738.39,19384.60247
