GRIDCODE	CVEENTMUN	Fter
156319	21022	0.144973155
156319	21033	0.098711795
156320	21005	0.410652842
156320	21022	0.092333831
156326	21069	0.010254932
156327	21069	0.00855373
156332	21121	0.055292292
156332	21121	0.044669449
156339	21150	0.141960507
156339	21193	0.015861935
157333	15080	0.005014105
157378	17032	0.271174818
157378	21022	0.107560508
157378	21033	0.237969074
157379	21022	0.08869719
157379	21022	0.030200194
157380	21022	0.196874335
157381	21022	0.010921033
157381	21188	0.103296052
157382	21022	0.164446571
157382	21188	0.068678741
157382	21188	0.066677129
157382	21188	0.034238338
157383	21022	0.109048081
157383	21188	0.041714768
157391	21121	0.133161641
157391	21019	0.064149189
157391	21121	0.091562569
157392	21121	0.033354021
157392	21159	0.306854624
157393	21121	0.081844635
157393	21159	0.136793979
157398	21150	0.004478786
157398	21193	0.122518466
157399	21193	0.07071194
157409	21189	0.301585936
157410	21189	0.056915008
158437	17032	0.728825182
158437	17022	0.386867921
158437	21022	0.025005307
158439	21188	0.081593147
158440	21188	0.178845426
158442	21022	0.022133764
158443	21022	0.002499328
158448	21019	0.039995134
158449	21019	0.145249371
158450	21019	0.000738864
158454	21114	0.121089087
158455	21114	0.234274684
158455	21114	0.115554097
158458	21193	0.144970526
158458	21193	0.040335642
158458	21193	0.066688355
158459	21193	0.172466186
158460	21193	0.050955107
158464	21153	0.707076222
158465	21153	0.292923778
158465	21182	0.13306783
158468	21189	0.276183718
158468	21189	0.364473058
158469	21154	0.294026087
158469	21189	0.000842281
159458	15021	0.007299732
159496	17022	0.072799849
159496	17022	0.036972355
159496	17022	0.1558284
159497	17022	0.347531475
159497	21188	0.091544887
159498	21022	0.005306703
159498	21188	0.100291062
159499	21188	0.074137671
159500	21188	0.158982779
159505	21019	0.005799087
159506	21019	0.040728259
159506	21019	0.06669123
159506	21019	0.107691791
159507	21019	0.099833673
159514	21114	0.201453644
159516	21193	0.01212213
159517	21193	0.184005089
159524	21182	0.689084519
159524	21182	0.010628701
159525	21151	0.536250571
159525	21182	0.167218951
159528	21154	0.552283313
159528	21154	0.094283126
160517	15021	0.063909346
160546	17029	1
160546	17026	1
160546	17002	0.426635775
160547	17002	0.573364225
160553	17016	0.343417223
160561	21019	0.041260114
160562	21019	0.124020154
160563	21019	0.03489072
160564	21019	0.026838219
160564	21019	0.011351527
160565	21019	0.002039222
160583	21097	0.924047003
160584	21151	0.095140246
160584	21097	0.075952997
160584	21151	0.368609183
160587	21144	0.459621585
160587	21154	0.058577993
160587	21144	0.540378415
