CELL,"X (Coord. GEOF.,ITRF92)","Y (Coord. GEOF.,ITRF92)",uso,pob,UTMX,Utmy,UTMZ
135123,-99.16528,18.27947,6,0,2799321.774,701649.0616,14
135124,-99.13688,18.27893,6,0,2802321.774,701649.0616,14
135125,-99.10848,18.27838,6,0,2805321.774,701649.0616,14
135126,-99.08007,18.27783,6,0,2808321.774,701649.0616,14
135127,-99.05167,18.27728,6,0,2811321.774,701649.0616,14
135128,-99.02327,18.27672,6,0,2814321.774,701649.0616,14
135129,-98.99486,18.27615,6,197,2817321.774,701649.0616,14
135130,-98.96646,18.27558,6,1465,2820321.774,701649.0616,14
135131,-98.93806,18.275,6,0,2823321.774,701649.0616,14
135132,-98.90966,18.27442,6,0,2826321.774,701649.0616,14
135133,-98.88126,18.27383,6,0,2829321.774,701649.0616,14
135134,-98.85285,18.27324,6,0,2832321.774,701649.0616,14
135135,-98.82445,18.27264,6,0,2835321.774,701649.0616,14
135136,-98.79605,18.27204,6,0,2838321.774,701649.0616,14
135137,-98.76765,18.27143,6,525,2841321.774,701649.0616,14
135138,-98.73925,18.27082,6,0,2844321.774,701649.0616,14
135139,-98.71085,18.2702,6,0,2847321.774,701649.0616,14
135140,-98.68245,18.26957,6,0,2850321.774,701649.0616,14
135141,-98.65405,18.26894,6,0,2853321.774,701649.0616,14
135142,-98.62565,18.26831,6,0,2856321.774,701649.0616,14
135143,-98.59725,18.26766,6,80,2859321.774,701649.0616,14
135144,-98.56885,18.26702,6,9,2862321.774,701649.0616,14
135145,-98.54045,18.26637,6,0,2865321.774,701649.0616,14
135146,-98.51205,18.26571,6,184,2868321.774,701649.0616,14
135147,-98.48366,18.26505,6,0,2871321.774,701649.0616,14
135148,-98.45526,18.26438,6,34,2874321.774,701649.0616,14
135149,-98.42686,18.2637,6,99,2877321.774,701649.0616,14
135150,-98.39846,18.26303,6,0,2880321.774,701649.0616,14
135151,-98.37007,18.26234,6,0,2883321.774,701649.0616,14
135152,-98.34167,18.26165,6,18,2886321.774,701649.0616,14
135153,-98.31327,18.26096,6,60,2889321.774,701649.0616,14
135154,-98.28488,18.26026,6,937,2892321.774,701649.0616,14
135155,-98.25648,18.25955,6,11,2895321.774,701649.0616,14
135156,-98.22809,18.25884,6,165,2898321.774,701649.0616,14
135157,-98.19969,18.25812,6,350,2901321.774,701649.0616,14
135158,-98.1713,18.2574,6,55,2904321.774,701649.0616,14
135159,-98.1429,18.25668,6,0,2907321.774,701649.0616,14
135160,-98.11451,18.25594,6,1047,2910321.774,701649.0616,14
135161,-98.08611,18.2552,6,159,2913321.774,701649.0616,14
135162,-98.05772,18.25446,6,659,2916321.774,701649.0616,14
135163,-98.02933,18.25371,6,768,2919321.774,701649.0616,14
135164,-98.00093,18.25296,6,901,2922321.774,701649.0616,14
135165,-97.97254,18.2522,6,579,2925321.774,701649.0616,14
135166,-97.94415,18.25144,6,0,2928321.774,701649.0616,14
135167,-97.91575,18.25067,6,126,2931321.774,701649.0616,14
135168,-97.88736,18.24989,6,69,2934321.774,701649.0616,14
135169,-97.85897,18.24911,6,26,2937321.774,701649.0616,14
135170,-97.83058,18.24832,6,0,2940321.774,701649.0616,14
135171,-97.80219,18.24753,6,100,2943321.774,701649.0616,14
135172,-97.7738,18.24673,6,0,2946321.774,701649.0616,14
135173,-97.74541,18.24593,6,0,2949321.774,701649.0616,14
135174,-97.71702,18.24512,6,41,2952321.774,701649.0616,14
135175,-97.68863,18.24431,6,0,2955321.774,701649.0616,14
