GRID,CVENTMUN,Fter
238830,11015,0.035234039
238840,11014,0.147891887
238848,11003,0.000214561
238861,11032,0.091502147
238877,22018,0.150867732
239864,14072,0.010863919
239865,14072,0.318907768
239874,11020,0.001766492
239875,11020,0.104931374
239875,11031,0.068371875
239876,11020,0.109570971
239876,11031,0.012164473
239884,11037,0.002943787
239885,11037,0.040718358
239886,11037,0.072571605
239891,11015,0.061723633
239920,11032,0.090046343
239936,22018,0.153454214
240944,11037,0.044754145
240945,11037,0.045344021
240946,11015,0.007821377
240946,11037,0.009204207
240962,11014,0.045750778
240974,11032,0.051261327
240975,11032,0.010291418
240979,11032,0.084676877
240995,22018,0.138049624
241986,11025,0.013053456
241987,11025,0.024461171
241997,11020,0.093864516
241998,11020,0.038544629
242001,11037,0.00479355
242003,11037,0.042884904
242005,11015,0.065379353
242006,11015,0.022188265
242007,11015,0.05771833
242008,11015,0.109664823
242016,11014,0.005120737
242020,11014,0.11326174
242021,11014,0.126964322
242029,11003,0.046647258
242034,11032,0.24377296
242038,11032,0.089848123
242054,22018,0.187956522
243045,14109,0.002960409
243046,11025,0.178701368
243046,14109,0.011475911
243057,11020,0.199135006
243058,11020,0.090509232
243059,11037,0.007685194
243060,11037,0.075140309
243061,11037,0.004554725
243065,11015,0.065584656
243066,11015,0.043251033
243067,11015,0.113720557
243078,11014,0.063889423
243079,11014,0.170981479
243082,11003,0.000839497
243083,11003,0.100948262
243083,11014,0.018746005
243087,11003,0.009913692
243088,11003,0.060217042
243097,11032,0.089901286
243101,11032,0.06024723
243101,11040,0.706910864
243112,22013,0.051281644
243113,22013,0.048425918
243113,22018,0.103267388
243116,22013,0.074608034
243117,22013,0.001948362
244104,14109,0.164380787
244120,11015,0.106349937
244120,11037,0.024628432
244121,11015,0.097215942
244121,11037,0.015055978
244126,11015,0.068907314
244127,11015,0.089983422
244142,11003,0.034169502
244142,11014,0.038984656
244143,11003,0.118503674
244143,11014,0.017926507
244144,11003,0.071765238
244144,11014,0.034203392
244146,11003,0.048342218
244156,11032,0.044707404
244157,11013,0.013390417
244160,11013,0.220835751
244160,11040,0.293089136
244170,22013,0.062799354
244171,22013,0.081175782
244172,22013,0.004492535
244174,22013,0.055974641
244175,22013,0.026208854
244179,22013,7.49E-05
245159,14109,0.081226596
245160,14109,0.130852191
245161,14109,0.145887046
245162,14109,0.128603581
245163,14109,0.067174204
245180,11015,0.055257317
245180,11020,0.079061677
245180,11030,0.005082951
245209,11033,0.018744294
245210,11033,0.020696234
245217,11013,0.031571046
245218,11013,0.235657078
245219,11013,0.062846599
245228,22013,0.031094276
245229,22013,0.012969578
245231,22013,0.047786586
245232,22013,0.058424211
245233,22013,0.052092777
245234,22013,0.027771901
245237,22013,0.070352117
245238,22013,0.011975648
245239,22002,0.264262648
245240,22002,0.158199945
246217,14109,0.03747575
246218,14109,0.026543979
246239,11030,0.001215865
246240,11030,0.035110561
