GRIDCODE,CVENTMUN,F_pav
1460092,06001,0.005966702
1460097,06009,0.002028903
1460098,06009,0.007155578
1460101,06009,0.020557003
1460111,06006,0.007852128
1460132,06002,0.007148333
1460133,06002,0.001195932
1463236,06007,0.001394093
1463237,06007,0.011170936
1463238,06007,0.009487961
1463239,06007,0.002919697
1463255,06001,0.011357162
1463255,06007,0.002394668
1463270,06001,0.015970945
1463275,06009,0.00821267
1463279,06009,0.001725213
1463280,06009,0.015981901
1463288,06006,0.161298333
1463289,06006,0.225499892
1463290,06006,0.176711595
1463309,06002,0.005674738
1463310,06002,0.004677621
1466412,06007,0.001408514
1466413,06007,0.005018489
1466414,06007,0.003842038
1466415,06007,0.009957797
1466432,06007,0.00553748
1466433,06007,0.001089522
1466448,06001,0.016150107
1466453,06009,0.008047043
1466458,06009,0.017601526
1466465,06006,0.117698674
1466466,06006,0.198048647
1466486,06002,0.003530003
1466487,06002,0.005415985
1469587,06007,0.000375254
1469588,06007,0.004725351
1469589,06007,0.00482634
1469590,06007,0.003831754
1469593,06007,0.009545546
1469598,06007,0.00626325
1469599,06007,0.002021252
1469600,06007,0.003662815
1469601,06007,0.00664729
1469602,06007,0.004686457
1469603,06007,0.00493966
1469604,06007,0.004794775
1469605,06007,0.004637487
1469606,06007,0.004574506
1469607,06007,0.004574331
1469608,06007,0.004574952
1469609,06007,0.004738151
1469610,06007,0.000714578
1469626,06001,0.001264036
1469627,06001,0.014933814
1469631,06009,0.00205402
1469632,06009,0.006026924
1469636,06009,0.002944423
1469637,06009,0.018113664
1469638,06009,0.016392366
1469639,06009,0.011304325
1469642,06009,0.005851347
1469643,06006,0.112890731
1469643,06009,0.003295732
1469664,06002,0.007893901
1472762,06007,0.000306281
1472763,06007,0.005044245
1472764,06007,0.00470727
1472765,06007,0.004436121
1472771,06007,0.013939723
1472772,06007,0.011992267
1472775,06007,0.0016947
1472776,06007,0.003706782
1472777,06007,0.004527401
1472778,06007,0.001102179
1472805,06001,0.015499405
1472810,06009,0.008113505
1472817,06009,0.005933132
1472818,06009,0.025795108
1472819,06009,0.00839303
1472820,06009,0.003741787
1472841,06002,0.003758515
1472842,06002,0.004253839
1475940,06007,0.005879817
1475948,06007,0.008221139
1475949,06007,0.007941778
1475950,06007,0.00914889
1475952,06007,0.000613262
1475953,06007,0.005443844
1475983,06001,0.014883301
1475988,06009,0.008015247
1475996,06009,0.007051294
1475997,06009,0.011163144
1476019,06002,0.00828385
1479118,06007,0.005293369
1479125,06007,0.006379553
1479126,06007,0.0041982
1479128,06007,0.007969246
1479129,06007,0.004003743
1479130,06007,0.00568132
1479160,06001,0.014832264
1479161,06001,0.006933033
1479166,06009,0.008781379
1479175,06009,0.016144763
1479196,06002,0.007545539
1479197,06002,0.001425982
1482296,06007,0.000187607
1482297,06007,0.006395298
1482298,06007,0.002655456
1482302,06007,0.003115456
1482303,06007,0.010830451
1482307,06007,0.010505599
1482338,06001,0.00409511
1482344,06009,0.008134137
1482353,06004,0.008583657
1482353,06009,0.015491865
1482374,06002,0.007726562
1485476,06007,0.002113082
1485477,06007,0.004638905
1485478,06007,0.005409165
1485480,06007,0.009714885
1485481,06007,0.005197813
1485482,06007,0.005064754
1485483,06007,0.004757451
