GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Ptot,PobT_urb,Ptot_rur,
1520497,06002,,0.000210062,0.000210062,2,,9521,9521
1520509,06002,,0.000210062,0.000210062,2,,9521,9521
1520514,06002,,0.000105031,0.000105031,1,,9521,9521
1520515,06002,,0.001365403,0.001365403,13,,9521,9521
1520517,06002,,0.000105031,0.000105031,1,,9521,9521
1520520,14065,,0.042794925,0.042794925,226,,5281,5281
1523582,14022,,0.002066471,0.002066471,12,,5807,5807
1523593,06007,,9.46522E-05,9.46522E-05,2,,21130,21130
1523609,06007,,0.027875059,0.027875059,589,,21130,21130
1523651,06004,0.011929446,,0.011929446,188.902782,15835,,15835
1523652,06004,0.058806398,,0.058806398,931.1993045,15835,,15835
1523653,06004,0.038595235,,0.038595235,611.1555514,15835,,15835
1523659,06004,,0.18056338,0.18056338,641,,3550,3550
1523660,06004,,0.00056338,0.00056338,2,,3550,3550
1523671,06002,,0.000315093,0.000315093,3,,9521,9521
1523672,06002,,0.000210062,0.000210062,2,,9521,9521
1523676,06002,,0.000735217,0.000735217,7,,9521,9521
1523679,06002,,0.000210062,0.000210062,2,,9521,9521
1523680,06002,,0.000210062,0.000210062,2,,9521,9521
1523681,06002,,0.000315093,0.000315093,3,,9521,9521
1523683,06002,,0.003360991,0.003360991,32,,9521,9521
1523687,06002,,0.000945279,0.000945279,9,,9521,9521
1523688,06002,,0.000315093,0.000315093,3,,9521,9521
1526761,06007,,0.004070043,0.004070043,86,,21130,21130
1526762,06007,,0.000378609,0.000378609,8,,21130,21130
1526764,06007,,0.000141978,0.000141978,3,,21130,21130
1526765,06007,,9.46522E-05,9.46522E-05,2,,21130,21130
1526769,06007,,0.00023663,0.00023663,5,,21130,21130
1526770,06007,,0.000425935,0.000425935,9,,21130,21130
1526787,06007,,0.000615239,0.000615239,13,,21130,21130
1526805,06007,,0.011547563,0.011547563,244,,21130,21130
1526808,06007,,4.73261E-05,4.73261E-05,1,,21130,21130
1526830,06004,0.000115842,,0.000115842,1.834353147,15835,,15835
1526831,06004,0.000103733,,0.000103733,1.642611859,15835,,15835
1526838,06004,,0.001690141,0.001690141,6,,3550,3550
1526839,06004,,0.002253521,0.002253521,8,,3550,3550
1526840,06004,,0.00056338,0.00056338,2,,3550,3550
1526848,06002,,0.000945279,0.000945279,9,,9521,9521
1526849,06002,,0.012603718,0.012603718,120,,9521,9521
1526850,06002,,0.000945279,0.000945279,9,,9521,9521
1526851,06002,,0.000630186,0.000630186,6,,9521,9521
1526852,06002,,0.0149144,0.0149144,142,,9521,9521
1526861,06002,,0.000840248,0.000840248,8,,9521,9521
1526865,06002,,0.000315093,0.000315093,3,,9521,9521
1526866,06002,,0.000630186,0.000630186,6,,9521,9521
1526867,06002,,0.015439555,0.015439555,147,,9521,9521
1526869,06002,,0.018275391,0.018275391,174,,9521,9521
1526870,06002,,0.000525155,0.000525155,5,,9521,9521
1526872,06002,,0.000420124,0.000420124,4,,9521,9521
