GRIDCODE,LONG,LATITUDE,Huso,Pob,X_long(NALCC),Y_lat(NALCC),UTMz
120,96,IE 2016 Colima V4.0,,,,,
1348885,-103.7065111,18.67662776,6,0,2320321.774,743649.0616,13
1348886,-103.6970144,18.67673516,6,3,2321321.774,743649.0616,13
1348887,-103.6875177,18.67684197,6,2,2322321.774,743649.0616,13
1348888,-103.678021,18.67694817,6,0,2323321.774,743649.0616,13
1348889,-103.6685242,18.67705377,6,0,2324321.774,743649.0616,13
1348890,-103.6590275,18.67715878,6,0,2325321.774,743649.0616,13
1348891,-103.6495307,18.67726318,6,0,2326321.774,743649.0616,13
1348892,-103.6400339,18.67736699,6,0,2327321.774,743649.0616,13
1348893,-103.6305371,18.67747019,6,0,2328321.774,743649.0616,13
1348894,-103.6210402,18.6775728,6,0,2329321.774,743649.0616,13
1348895,-103.6115434,18.67767481,6,146,2330321.774,743649.0616,13
1348896,-103.6020466,18.67777621,6,0,2331321.774,743649.0616,13
1348897,-103.5925497,18.67787702,6,0,2332321.774,743649.0616,13
1348898,-103.5830528,18.67797723,6,0,2333321.774,743649.0616,13
1348899,-103.5735559,18.67807684,6,0,2334321.774,743649.0616,13
1348900,-103.564059,18.67817585,6,0,2335321.774,743649.0616,13
1348901,-103.5545621,18.67827426,6,0,2336321.774,743649.0616,13
1348902,-103.5450652,18.67837208,6,0,2337321.774,743649.0616,13
1348903,-103.5355682,18.67846929,6,0,2338321.774,743649.0616,13
1348904,-103.5260712,18.6785659,6,27,2339321.774,743649.0616,13
1348905,-103.5165743,18.67866192,6,0,2340321.774,743649.0616,13
1348906,-103.5070773,18.67875733,6,0,2341321.774,743649.0616,13
1348907,-103.4975803,18.67885215,6,0,2342321.774,743649.0616,13
1348908,-103.4880833,18.67894636,6,27,2343321.774,743649.0616,13
1348909,-103.4785862,18.67903998,6,0,2344321.774,743649.0616,13
1351968,-104.6087909,18.67274214,6,0,2225321.774,744649.0616,13
1351969,-104.5992953,18.67290648,6,0,2226321.774,744649.0616,13
1351970,-104.5897998,18.67307022,6,0,2227321.774,744649.0616,13
1351971,-104.5803042,18.67323336,6,0,2228321.774,744649.0616,13
1351972,-104.5708086,18.6733959,6,0,2229321.774,744649.0616,13
1351973,-104.5613129,18.67355785,6,0,2230321.774,744649.0616,13
1351974,-104.5518173,18.67371919,6,0,2231321.774,744649.0616,13
1351975,-104.5423216,18.67387993,6,0,2232321.774,744649.0616,13
1351976,-104.5328259,18.67404008,6,0,2233321.774,744649.0616,13
1351977,-104.5233302,18.67419963,6,0,2234321.774,744649.0616,13
1351978,-104.5138344,18.67435857,6,0,2235321.774,744649.0616,13
