GRIDCODE,CVENTMUN,Fter
1517337,06002,0.024397324
1520468,06004,0.055012229
1520484,06004,0.046329212
1520485,06004,0.014773835
1520486,06004,0.04037856
1520515,06002,4.48218E-05
1520516,06002,0.002370128
1523646,06004,0.008087283
1523647,06004,0.04878046
1523648,06004,0.050542734
1523651,06004,0.020583079
1523652,06004,0.050491888
1523653,06004,0.001771455
1523662,06004,0.024953537
1523663,06004,0.065362007
1526804,06007,0.021404678
1526805,06007,0.010527346
1526826,06004,0.007315449
1526827,06004,0.046345018
1526828,06004,0.045047485
1526829,06004,0.033108404
1529980,06007,0.038514722
1529981,06007,0.046954587
1529982,06007,0.035292551
1533158,06007,0.043927125
1536335,06007,0.018663946
1536336,06007,0.035937567
1539510,06007,0.00270544
1539511,06007,0.007350181
1539513,06007,0.024957651
1542687,06007,0.005492593
1542688,06007,0.059049702
1545864,06007,0.029319237
1545865,06007,0.044669879
1549041,06007,0.014633564
1549042,06007,0.040433093
1552219,06007,0.052358625
1555391,06007,0.05586005
1555392,06007,0.025984766
1555396,06007,0.038856565
1555397,06007,0.0124968
1558569,06007,0.04562524
1558570,06007,0.029363598
1558571,06007,0.057407148
1558572,06007,0.035715324
1558573,06007,0.047945982
1558574,06007,0.036981562
1561747,06007,0.048587973
1561750,06007,0.02640139
1564925,06007,0.006581115
1564925,14027,0.004340405
1580872,06003,0.028891428
1584080,14103,0.031730226
1584081,14103,0.082245591
1587257,14103,0.005898083
1587258,14103,0.175328544
1590435,14103,0.168747067
1593582,06003,0.012480507
1593611,14103,0.007013452
1593612,14103,0.211683874
1593613,14103,0.039283995
1596789,14103,0.175324734
1599967,14103,0.074585504
1609449,06008,0.041179511
1609477,06003,0.035048581
1612627,06008,0.079052759
1612682,14103,0.028158929
1615782,14027,0.004298817
1615783,14027,0.023534087
1615784,14027,0.022985769
1615804,06008,0.069161845
1615805,06008,0.04669489
1618932,14027,0.007408343
1618953,14027,0.012279206
1618954,14027,0.000241775
1618957,14027,0.007238873
1618958,14027,0.012450106
1618959,14027,0.022074661
1618960,14027,0.019217706
1618962,14027,0.020694566
1618963,14027,0.001419773
1618981,06008,0.085693145
1618982,06008,0.046214009
1619004,14122,0.010732924
1619005,14122,0.013621906
1619014,06003,0.01875858
1622110,14027,0.020706332
1622128,14027,0.003887705
1622129,14027,0.002219355
1622130,14027,0.016865066
1622131,14027,0.010417949
1622132,14027,0.021571448
1622133,14027,0.020449803
1622134,14027,0.019983567
1622135,14027,0.020273901
1622136,14027,0.008177119
1622141,14027,0.026130994
1622159,06008,0.090257804
1622182,14122,0.045001868
1622183,14122,0.031297196
1622184,14122,0.043071269
1622185,14122,0.01913695
1622192,06003,0.034163094
1622193,06003,0.320130283
1625288,14027,0.014820705
1625301,14027,0.006108981
1625302,14027,0.009757165
1625304,14027,0.009082429
1625305,14027,0.010050098
1625306,14027,0.006759817
1625307,14027,0.011868283
1625308,14027,0.025607313
1625319,14027,0.003166306
1625320,14027,0.020811197
1625321,14027,0.01836172
1625337,06008,0.090931587
1625360,14122,0.049680102
1625363,14122,0.023180991
1625364,14122,0.043948311
1625365,14122,0.041937727
1625366,14122,0.03936815
1625367,14122,0.023485452
1625368,14122,0.019218069
1625369,14122,0.015400869
1625371,06003,0.231471603
