GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
134041,12058,,0.003110523,0.001748219,,94,94
134043,12026,,0.289469841,0.216233908,,1982,1982
134046,12017,0.056507364,,0.025566057,376,,376
134047,12017,0.033814247,0.000248355,0.015434827,225,2,227
134047,12035,,0.010804249,0.001268113,,178,178
134048,12035,,0.001274659,0.000149609,,21,21
134049,12017,,0.031789395,0.017406677,,256,256
134050,12035,,0.020151745,0.002365245,,332,332
134051,12035,,0.114294385,0.01341493,,1883,1883
134052,12035,,0.001031866,0.000121112,,17,17
134052,12059,,0.000141017,9.85E-05,,3,3
134053,12059,0.010439321,0.054291624,0.041056777,96,1155,1251
134054,12059,0.000326229,,9.85E-05,3,,3
134056,12059,,0.019037323,0.013291762,,405,405
134057,12034,,0.023826408,0.008992613,,336,336
134059,12034,,0.001772798,0.000669093,,25,25
134060,12034,,0.015316976,0.005780966,,216,216
134061,12034,,0.000141824,5.35E-05,,2,2
134063,12034,,0.084668841,0.031955893,,1194,1194
134064,12034,,0.000496383,0.000187346,,7,7
134068,12008,,0.015140591,0.010011919,,84,84
134070,12008,,0.024333093,0.016090584,,135,135
134071,21087,,0.000886525,0.000394882,,5,5
134072,21087,,0.236702128,0.105433581,,1335,1335
134077,21047,,0.030257831,0.007459158,,142,142
134080,21047,,0.2056254,0.05069076,,965,965
134082,21047,,0.000426167,0.000105059,,2,2
134084,21047,,0.000426167,0.000105059,,2,2
134085,21047,,0.000852333,0.000210117,,4,4
134095,21059,,0.204198473,0.086709887,,214,214
134096,21059,,0.004770992,0.002025932,,5,5
134097,21009,0.195867769,0.15914787,0.1812749,237,127,364
134097,21059,,0.196564885,0.083468395,,206,206
134098,21009,0.037190083,0.142857143,0.079183267,45,114,159
134099,21009,,0.116541353,0.046314741,,93,93
134100,21003,,0.032422635,0.014262513,,483,483
134101,21003,,0.005772974,0.002539495,,86,86
134102,21003,,0.00590723,0.002598553,,88,88
134103,21003,0.032001265,0.005504464,0.020345489,607,82,689
134104,21003,0.071594264,0.088809827,0.079167282,1358,1323,2681
134106,21196,0.577854671,0.415821501,0.529411765,668,205,873
