GRIDCODE	CVENTMUN	Fpav
148921	21007	0.027055058
148922	21007	0.170334713
148923	21007	0.143754282
148924	21031	0.325779596
148925	21031	0.291844903
148925	21070	1
148926	21031	0.219224048
148926	21146	0.1638788
148927	21146	0.202050237
148928	21146	0.149404591
148928	21206	0.032097175
148929	21146	0.160132043
148929	21206	0.088794384
148930	21206	0.154028395
148931	21206	0.025964365
148933	21098	0.062306567
148933	21169	0.097349433
148933	21206	0.036010861
148934	21169	0.013523359
148943	21177	0.2794609
149899	12027	0.054905262
149909	15008	0.012261104
149910	15008	0.063171001
149911	15008	0.022251721
149912	15008	0.020679196
149912	15105	0.01666954
149913	15008	0.082882327
149913	15105	0.001316625
149935	12049	0.081380144
149936	12049	0.050774056
149937	12049	0.19540565
149937	12055	0.002894866
149939	17005	0.000981781
149939	17021	0.120534086
149940	17014	0.056336838
149940	17021	0.193257545
149941	17014	0.154091092
149944	17017	0.119414916
149945	17017	0.031689811
149946	17017	0.03761902
149947	17017	0.023413325
149947	17031	0.22238493
149948	17012	0.040059402
149948	17024	0.003125164
149948	17031	0.350556785
149949	17012	0.003217495
149949	17024	0.030116821
149949	17025	0.037893645
149953	17024	0.063531318
149954	17024	0.06358813
149955	17004	0.037754821
149955	17024	0.003750905
149956	17004	0.02986133
149956	17019	0.036829532
149957	17004	0.018588406
149957	17019	0.100595353
149958	17019	0.002788352
149960	17019	0.018008934
149961	17013	0.106893394
149961	17019	0.056782842
149962	17013	0.165561376
149963	17010	0.015627093
149964	17010	0.096139936
149964	21168	0.067471737
149965	21168	0.181850769
149966	21168	0.19368863
149967	21168	0.195985727
149968	21168	0.161658259
149969	21168	0.120690119
149971	21176	0.09263963
149971	21185	0.294146455
149973	21085	0.048331643
149976	21062	0.080691785
149977	21062	0.334208992
149977	21133	0.153856991
149977	21201	0.144623348
149978	21201	0.076400518
149990	21206	0.124448152
149991	21206	0.142287196
149992	21098	0.04408071
149992	21206	0.219686352
150958	12027	0.0534187
150959	12027	0.016136009
150967	15008	0.015946749
150968	15008	0.107921867
150969	15008	0.011885431
150972	15008	0.073162656
150992	12049	0.025632155
150993	12049	0.126877868
150994	12049	0.028390088
150995	12049	0.107149051
150996	12049	0.117304595
150996	17005	0.010205232
150997	17005	0.177731272
150997	17021	0.072680562
150998	17005	0.09305286
150998	17021	0.04904359
151000	17014	0.088711385
151000	17021	0.12532327
151003	17017	0.057136606
151004	17017	0.06322569
151005	17017	0.118163536
151007	17024	0.051236214
151008	17012	0.002566854
151008	17024	0.143660352
151009	17024	0.097833819
151010	17024	0.065284592
151011	17004	0.036116668
151011	17024	0.01047016
151012	17024	0.004440118
151014	17004	0.044675297
151017	17004	0.033258728
151017	17019	0.034959994
151020	17013	0.17843214
151021	17013	0.079651751
151022	17010	0.04952995
151023	17010	0.08756634
151030	21185	0.490984174
151032	21085	0.014684227
151033	21085	0.042630488
151033	21166	0.055928083
151037	21133	0.846143009
151037	21201	0.278394612
151038	21159	0.050693259
151038	21201	0.04928655
151051	21206	0.015573254
151052	21098	0.148855542
151052	21206	0.054751201
151061	21177	0.05582373
152018	12027	0.058323492
152019	12027	0.066595372
152020	12027	0.038337989
152026	15008	0.014226212
152027	15008	0.086426898
152031	15008	0.045572187
152032	15008	0.030480946
152045	15117	0.112757743
152046	15117	0.039392256
152051	12049	0.110983992
152056	17005	0.24583894
152058	17021	0.180773117
152059	17014	0.153693572
152059	17021	0.220922565
152060	17014	0.201101768
152060	17015	0.000229685
152061	17015	0.088366478
152062	17015	0.089804031
152063	17015	0.013569143
152063	17017	0.100088606
152063	17028	0.088243321
152064	17017	0.040677337
152064	17028	0.009268037
