GRIDCODE,LONG,LATITUDE,Huso,Pob,UTMX,UTMY,UTMZ
135088,-100.159544,18.294948,6,13,2694321.7742,701649.0616,14
135089,-100.131133,18.294598,6,177,2697321.7742,701649.0616,14
135090,-100.102723,18.294241,6,206,2700321.7742,701649.0616,14
135091,-100.074313,18.293879,6,511,2703321.7742,701649.0616,14
135092,-100.045903,18.293512,6,183,2706321.7742,701649.0616,14
135093,-100.017494,18.293140,6,149,2709321.7742,701649.0616,14
135094,-99.989084,18.292762,6,149,2712321.7742,701649.0616,14
135095,-99.960675,18.292379,6,9,2715321.7742,701649.0616,14
135096,-99.932265,18.291990,6,9,2718321.7742,701649.0616,14
135097,-99.903856,18.291596,6,1,2721321.7742,701649.0616,14
135098,-99.875447,18.291197,6,352,2724321.7742,701649.0616,14
135099,-99.847038,18.290792,6,336,2727321.7742,701649.0616,14
135100,-99.818630,18.290382,6,655,2730321.7742,701649.0616,14
135101,-99.790221,18.289967,6,655,2733321.7742,701649.0616,14
135102,-99.761813,18.289546,6,655,2736321.7742,701649.0616,14
135103,-99.733405,18.289120,6,655,2739321.7742,701649.0616,14
135104,-99.704997,18.288688,6,272,2742321.7742,701649.0616,14
135105,-99.676589,18.288251,6,272,2745321.7742,701649.0616,14
135106,-99.648182,18.287809,6,398,2748321.7742,701649.0616,14
135107,-99.619774,18.287361,6,440,2751321.7742,701649.0616,14
135108,-99.591367,18.286908,6,440,2754321.7742,701649.0616,14
135109,-99.562960,18.286449,6,548,2757321.7742,701649.0616,14
135110,-99.534553,18.285986,6,548,2760321.7742,701649.0616,14
135111,-99.506147,18.285516,6,725,2763321.7742,701649.0616,14
135112,-99.477740,18.285042,6,3461,2766321.7742,701649.0616,14
135113,-99.449334,18.284562,6,2949,2769321.7742,701649.0616,14
135114,-99.420928,18.284076,6,2949,2772321.7742,701649.0616,14
135115,-99.392522,18.283586,6,1765,2775321.7742,701649.0616,14
135116,-99.364117,18.283090,6,1765,2778321.7742,701649.0616,14
135117,-99.335711,18.282588,6,3168,2781321.7742,701649.0616,14
135118,-99.307306,18.282081,6,7,2784321.7742,701649.0616,14
135119,-99.278901,18.281569,6,7,2787321.7742,701649.0616,14
135120,-99.250497,18.281052,6,2,2790321.7742,701649.0616,14
135121,-99.222092,18.280529,6,2,2793321.7742,701649.0616,14
135122,-99.193688,18.280000,6,2,2796321.7742,701649.0616,14
135123,-99.165284,18.279467,6,2,2799321.7742,701649.0616,14
135124,-99.136880,18.278928,6,2,2802321.7742,701649.0616,14
135125,-99.108476,18.278383,6,2,2805321.7742,701649.0616,14
