GRIDCODE,ID,furb,frural,FpoT, PobUrb, PobR,PobU+R, PobT
0,frac,,,,,,,
413579,5004,0.0714603,0.0011977,0.072657913,1611,27,1638,22544
413580,5004,0,0.0002661,0.000266146,0,6,6,22544
413581,5004,0,0.0008428,0.000842796,0,19,19,22544
413582,5004,0,0.0008428,0.000842796,0,19,19,22544
413583,5004,0,0.0014638,0.001463804,0,33,33,22544
413584,5004,0,0.000621,0.000621008,0,14,14,22544
413585,5004,0,0.0022622,0.002262243,0,51,51,22544
413586,5004,0,0.0040809,0.004080908,0,92,92,22544
413587,5004,0,0.0047019,0.004701916,0,106,106,22544
413590,19049,0,0.0000988,9.88E-05,0,4,4,40469
413592,19048,0,0.0000744,7.44E-05,0,20,20,268955
413600,19049,0.0004695,0.0003212,0.000790729,19,13,32,40469
413601,19049,0.0272307,0.0005189,0.027749636,1102,21,1123,40469
413602,19049,0.038128,0.0006672,0.038795127,1543,27,1570,40469
413603,19049,0,0.0025452,0.002545158,0,103,103,40469
413604,19049,0,0.0072401,0.00724011,0,293,293,40469
413605,19009,0,0.0005206,0.000520562,0,45,45,86445
413605,19049,0,0.0035089,0.003508859,0,142,142,40469
413606,19009,0,0.0020475,0.002047545,0,177,177,86445
413607,19009,0,0.0101567,0.010156747,0,878,878,86445
413608,19009,0,0.0086182,0.008618197,0,745,745,86445
413609,19009,0,0.0036439,0.003643935,0,315,315,86445
414631,5030,0.0002358,0,0.000235822,171,0,171,725123
414632,5030,0.0016535,0,0.001653513,1199,0,1199,725123
414633,5027,0,0,0,0,0,0,75461
414633,5030,0.0193898,0,0.019389814,14060,0,14060,725123
414634,5030,0.0096453,0,0.00964526,6994,0,6994,725123
414635,5004,0,0.005456,0.005455997,0,123,123,22544
414635,5030,0.001277,0,0.001277025,926,0,926,725123
414636,5004,0,0.0000887,8.87E-05,0,2,2,22544
414636,5030,0.0000234,0,2.34E-05,17,0,17,725123
414637,5004,0,0.0004879,0.000487935,0,11,11,22544
414638,5004,0,0.0000444,4.44E-05,0,1,1,22544
414640,5004,0,0.0001331,0.000133073,0,3,3,22544
414641,5004,0,0.0001774,0.000177431,0,4,4,22544
414644,5004,0,0.0002661,0.000266146,0,6,6,22544
414645,5004,0,0.0019517,0.001951739,0,44,44,22544
414646,5004,0,0.0004879,0.000487935,0,11,11,22544
414647,19048,0,0.0000372,3.72E-05,0,10,10,268955
414648,19048,0,0.0002082,0.000208213,0,56,56,268955
414649,19048,0,0.0000223,2.23E-05,0,6,6,268955
414650,19048,0,0.0000409,4.09E-05,0,11,11,268955
414652,19048,0,0.0000186,1.86E-05,0,5,5,268955
414653,19048,0,0.0000335,3.35E-05,0,9,9,268955
414659,19049,0.0151227,0.0012849,0.016407621,612,52,664,40469
414660,19049,0.0837925,0,0.083792533,3391,0,3391,40469
414661,19049,0.005461,0,0.00546097,221,0,221,40469
414662,19009,0,0.001018,0.001017988,0,88,88,86445
