GRIDCODE,CID,Fracc,Fracv
410434,19009,0.001147283,0.000569741
410434,19038,0.00840923,0.001913236
410434,19038,0.002376658,0.000540728
410435,19009,0.013094669,0.00650281
410435,19038,0.004089662,0.000930464
410436,19009,0.016144567,0.008017389
410436,19038,4.44E-05,1.01E-05
410437,19009,0.002475261,0.001229214
410437,19022,0.00049518,5.55E-05
410437,19022,0.013512799,0.001513337
410437,19038,0.000664068,0.000151086
410437,19038,6.65E-05,1.51E-05
410438,19022,0.000560053,6.27E-05
410438,19022,0.01995321,0.002234617
410439,19022,0.02498808,0.002798486
410440,19022,0.032913239,0.003686048
410441,19022,0.03209035,0.00359389
410442,19022,0.028080921,0.003144862
410442,19022,0.001536877,0.000172119
411452,5030,0.00952026,0.000423947
411453,5030,0.012701953,0.000565631
411454,5030,4.35E-05,1.94E-06
411454,5030,0.020514526,0.000913533
411455,5030,0.001293193,5.76E-05
411456,5030,0.00080655,3.59E-05
411457,5030,0.000744632,3.32E-05
411467,5004,0.006345036,0.001515201
411467,5004,0.000556333,0.000132853
411468,5004,7.13E-05,1.70E-05
411468,5004,0.013646519,0.003258802
411468,5004,0.005576424,0.001331655
411469,5004,0.015400004,0.003677536
411470,5004,0.007479364,0.001786079
411471,5004,0.002240494,0.000535032
411473,5004,0.009816259,0.002344132
411474,5004,0.001391576,0.00033231
411474,19049,0.005862354,0.000571832
411484,19049,0.018984013,0.00185176
411484,19049,0.0177491,0.001731303
411485,19049,0.04387558,0.004279761
411488,19009,0.001812813,0.000900243
411489,19009,0.000762936,0.000378874
411489,19009,0.002647982,0.001314987
411490,19009,2.37E-06,1.18E-06
411490,19009,0.016183628,0.008036787
411491,19009,0.002534716,0.00125874
411491,19009,0.008642089,0.00429166
411491,19038,0.006600645,0.001501754
411491,19038,3.81E-05,8.67E-06
411492,19009,0.003718352,0.001846533
411492,19038,0.015627455,0.0035555
411492,19038,0.000896039,0.000203863
411493,19009,0.009520909,0.004728082
411493,19038,0.001897767,0.000431773
411494,19009,0.011448556,0.005685351
411495,19009,0.015175073,0.007535939
411496,19009,0.004858273,0.002412617
411496,19022,5.51E-05,6.17E-06
411496,19022,0.000796039,8.92E-05
411497,19022,0.0067453,0.000755425
411498,19022,0.008350775,0.000935227
411499,19022,0.018211183,0.002039522
411499,19042,0.002232496,0.000336718
411500,19022,0.019027585,0.002130953
411500,19042,0.004470108,0.000674207
411501,19022,0.025375205,0.002841842
412511,5030,0.006476026,0.000288384
412512,5030,0.018327854,0.000816158
412513,5030,0.02032357,0.000905029
412516,5030,0.001072178,4.77E-05
412516,5030,0.004418224,0.000196748
412516,5030,3.63E-05,1.62E-06
412517,5030,5.07E-05,2.26E-06
412519,5004,0.001007686,0.000240636
412520,5004,0.011241249,0.002684421
412521,5004,0.009775318,0.002334355
412525,5004,6.63E-05,1.58E-05
412526,5004,0.010869465,0.002595639
412527,5004,0.009981454,0.002383581
412527,5004,0.008759048,0.002091669
412528,5004,0.011570264,0.00276299
412529,5004,0.003949788,0.000943213
412542,19049,0.017704377,0.00172694
412543,19049,0.042983676,0.004192762
412543,19049,0.022985858,0.002242112
412546,19009,1.20E-05,5.97E-06
412546,19049,0.002989685,0.000291623
412548,19009,0.006332546,0.003144742
412548,19009,0.001205992,0.000598895
412549,19009,0.01359003,0.006748807
412549,19009,0.002595968,0.001289157
412550,19009,0.014204792,0.007054097
412550,19009,3.78E-05,1.88E-05
412550,19038,0.002575648,0.000586002
412551,19009,0.015758703,0.00782577
412551,19038,0.000566298,0.000128842
412552,19009,0.008955159,0.004447131
412553,19009,0.000455165,0.000226035
412554,19009,0.009634,0.004784243
412555,19009,0.002738855,0.001360115
412555,19022,3.23E-05,3.62E-06
412558,19022,0.011465377,0.00128404
412558,19042,0.007330921,0.001105692
412559,19022,0.00175013,0.000196002
412559,19042,0.008633157,0.001302103
412560,19022,0.009796833,0.001097175
413570,5030,0.023499523,0.001046458
413571,5030,0.015191641,0.000676499
413572,5030,0.025213208,0.00112277
413573,5030,0.006824711,0.000303911
413573,5030,0.004114803,0.000183236
413574,5030,6.29E-05,2.80E-06
413575,5030,0.015657097,0.000697226
413575,5030,0.009949463,0.00044306
413576,5030,0.008746115,0.000389473
413578,5004,0.008283683,0.001978151
413579,5004,0.020901823,0.004991376
413580,5004,0.002886913,0.000689398
413584,5004,0.005070239,0.001210778
413585,5004,0.010981766,0.002622456
413586,5004,0.011345856,0.002709401
