GRIDCODE,CVENTMUN,POB  RURAL EN CELL,POB_TOTxMUN,Frur
35831,7010,22,7308,0.0030104
35673,20439,16,22468,0.000712124
35827,7070,562,11765,0.047768806
35826,7070,44,11765,0.003739907
35827,7070,27,11765,0.002294943
35806,7051,421,25982,0.016203526
35800,7069,8,33162,0.00024124
35672,20439,94,22468,0.004183728
35831,7006,285,25721,0.01108044
35801,7051,15,25982,0.000577323
35800,7069,5,33162,0.000150775
35803,7051,3,25982,0.000115465
35827,7070,529,11765,0.044963876
35795,7069,5,33162,0.000150775
35800,7069,5,33162,0.000150775
35817,7032,48,17779,0.002699814
35802,7051,2,25982,7.70E-05
36731,20439,96,22468,0.004272743
36852,7069,9,33162,0.000271395
36889,7053,148,6213,0.02382102
36863,7051,1,25982,3.85E-05
36886,7070,319,11765,0.027114322
36863,7051,3,25982,0.000115465
36734,20324,164,27530,0.005957138
36863,7051,5,25982,0.000192441
36862,7051,1,25982,3.85E-05
36887,7070,301,11765,0.02558436
36863,7051,7,25982,0.000269417
36887,7070,344,11765,0.029239269
36855,7069,1,33162,3.02E-05
36858,7069,3,33162,9.05E-05
36871,7001,93,9299,0.010001075
36861,7051,3,25982,0.000115465
36861,7051,2,25982,7.70E-05
36865,7051,63,25982,0.002424756
36856,7069,2,33162,6.03E-05
36888,7053,63,6213,0.010140029
36865,7051,6,25982,0.000230929
36734,20324,73,27530,0.002651653
36855,7069,3,33162,9.05E-05
36864,7051,1,25982,3.85E-05
36861,7051,1789,25982,0.068855361
36861,7051,2,25982,7.70E-05
36864,7051,4,25982,0.000153953
36865,7051,5,25982,0.000192441
36861,7051,1,25982,3.85E-05
36885,7070,18,11765,0.001529962
36864,7051,6,25982,0.000230929
36887,7070,190,11765,0.016149596
36865,7051,2,25982,7.70E-05
36860,7051,647,25982,0.024901855
36889,7010,237,7308,0.032430213
36885,7070,97,11765,0.008244794
36883,7080,71,34743,0.002043577
36864,7051,8,25982,0.000307905
36858,7069,7,33162,0.000211085
36861,7051,4,25982,0.000153953
36889,7010,530,7308,0.072523262
36865,7051,94,25982,0.003617889
36733,20439,60,22468,0.002670465
36861,7051,2,25982,7.70E-05
36860,7069,4,33162,0.00012062
36861,7051,1,25982,3.85E-05
36855,7069,3,33162,9.05E-05
36855,7069,18,33162,0.00054279
36866,7051,155,25982,0.005965669
36881,7080,255,34743,0.007339608
36861,7051,3,25982,0.000115465
36888,7010,76,7308,0.010399562
36850,7069,41,33162,0.001236355
36858,7069,16,33162,0.00048248
36887,7036,78,6228,0.012524085
36734,20324,88,27530,0.003196513
36855,7069,1718,33162,0.051806284
36735,20324,8,27530,0.000290592
36860,7051,7,25982,0.000269417
36862,7051,2,25982,7.70E-05
36891,7006,145,25721,0.005637417
36865,7051,107,25982,0.004118236
36864,7051,604,25982,0.023246863
36885,7080,60,34743,0.001726967
36888,7010,217,7308,0.029693487
36880,7080,14,34743,0.000402959
