GRIDCODE,CVENTMUN,Ft
61096,20126,0.013488672
61106,20428,0.027550817
61110,20410,0.037197192
61111,20125,0.016243937
61111,20410,0.065680177
61112,20410,0.019196777
61112,20410,0.075456296
61113,20410,0.002487432
61117,20052,0.087384309
61117,20008,0.035852465
61122,20282,0.154442255
61123,20282,0.184665604
61124,20282,0.124846685
61138,20308,0.114529664
61171,20327,0.405823665
61195,7107,0.001900661
61196,7107,0.057967456
61197,7107,0.030782591
61198,7108,0.024364475
61199,7108,0.062814775
61199,7107,0.000552301
61200,7108,0.043398134
61209,7107,0.002962101
61226,7020,0.039460455
61227,7020,0.066468725
61228,7020,0.078273224
61229,7020,0.065320972
61230,7020,0.052040126
61243,7019,0.116431043
61243,7104,0.026983706
61244,7019,0.307720415
61245,7019,0.14641262
61258,7099,0.001771897
61259,7099,0.004517666
61259,7099,0.042205031
61260,7099,0.004653009
62077,12023,0.119660622
62079,20485,0.078085139
62093,20482,0.190641932
62099,20090,0.239353423
62099,20225,0.293386407
62101,20082,0.003188067
62102,20082,0.459557348
62104,20467,0.070007743
62125,20277,0.041075431
62126,20277,0.074136086
62127,20277,0.047739583
62127,20314,0.09418649
62127,20314,0.176665103
62127,20314,0.051440736
62127,20277,0.009724982
62127,20314,0.006762348
62127,20277,0.015539433
62128,20314,0.08987255
62140,20353,0.357967347
62140,20353,0.013744116
62141,20353,0.126187504
62141,20353,0.281033677
62141,20384,0.000256222
62143,20384,0.21107148
62144,20059,0.007486881
62144,20059,0.019694169
62144,20061,1
62144,20362,0.008165534
62144,20384,0.017496193
62144,20059,0.004423598
62145,20059,0.020947704
62145,20059,0.005212691
62146,20059,0.036697466
62146,20059,0.012311689
62146,20059,0.018916763
62147,20059,0.034370378
62147,20538,0.415997877
62147,20059,0.017246135
62147,20538,0.18471043
62148,20059,0.034076067
62148,20538,0.107288532
62149,20154,0.729402779
62150,20059,0.044145309
62150,20154,0.270597221
62151,20059,0.021188415
62151,20126,0.106937702
62152,20126,0.04246443
62152,20126,0.019577975
62156,20074,0.412920315
62157,20074,0.587079685
62157,20361,0.052510944
62157,20361,0.03924071
62157,20361,0.01726679
62157,20361,0.111913655
62158,20361,0.236971936
62159,20361,0.317042299
62159,20361,0.003876902
62172,20410,0.094680531
62173,20410,0.020651764
62176,20008,0.137133775
62177,20008,0.06825947
62182,20282,0.067728764
62183,20282,0.237210705
62195,20124,0.030541553
62196,20124,0.172822771
62216,20141,0.093947791
62219,20141,0.001129642
62220,20141,0.020444015
62220,20143,0.121973852
62230,20025,0.038480868
62230,20327,0.594176335
62256,7108,0.006599496
62256,7107,0.026240888
62257,7108,0.024547262
62257,7107,0.016340258
62258,7108,0.009343439
62258,7107,0.002842256
62259,7108,0.00328647
62259,7107,0.02060087
62260,7107,0.05486005
62261,7108,0.007063015
62261,7107,0.012949287
62302,7104,0.404309169
62303,7019,0.095761313
62303,7104,0.17898082
